,coef,abs coef,% total,cum % total,coef OR
quanTIseq_NK_cell,2.3300244355090323,2.3300244355090323,0.28256740358120974,0.28256740358120974,10.278192682845086
quanTIseq_Monocyte,-2.1702271896797645,2.1702271896797645,0.2631884253330525,0.5457558289142622,0.11415167988103855
quanTIseq_uncharacterized_cell,0.8673235419328524,0.8673235419328524,0.10518231378774508,0.6509381427020073,2.3805309283244447
quanTIseq_T_cell_CD8+,0.47689053043071067,0.47689053043071067,0.05783360763203011,0.7087717503340375,1.611057072676921
quanTIseq_B_cell,0.4560652703635279,0.4560652703635279,0.05530808061333955,0.7640798309473771,1.5778533284658922
quanTIseq_Neutrophil,-0.4500239677353107,0.4500239677353107,0.05457543799728444,0.8186552689446616,0.6376128693021506
quanTIseq_Macrophage_M1,-0.40995738391048164,0.40995738391048164,0.04971647154645514,0.8683717404911167,0.6636785329174345
AAGE,-0.3389909942820086,0.3389909942820086,0.04111021482517348,0.9094819553162902,0.7124888655340944
quanTIseq_T_cell_regulatory_(Tregs),-0.3181394739654065,0.3181394739654065,0.038581503165848796,0.948063458482139,0.7275013138451493
quanTIseq_T_cell_CD4+_(non-regulatory),-0.25112248277096894,0.25112248277096894,0.030454199044465214,0.9785176575266042,0.7779270830587318
quanTIseq_Myeloid_dendritic_cell,-0.17322303258136065,0.17322303258136065,0.021007154178743652,0.9995248117053479,0.8409500346701277
quanTIseq_Macrophage_M2,-0.003918358324332501,0.003918358324332501,0.000475188294652184,1.0,0.9960893084246876
