,coef,abs coef,% total,cum % total,coef OR
quanTIseq_NK_cell,1.7271812138612115,1.7271812138612115,0.29716632015319755,0.29716632015319755,5.624776499400684
quanTIseq_Monocyte,-1.6637516864387496,1.6637516864387496,0.2862530939659748,0.5834194141191724,0.18942697471400605
quanTIseq_uncharacterized_cell,0.6957112711183872,0.6957112711183872,0.11969905454516339,0.7031184686643358,2.005134761300136
quanTIseq_Neutrophil,-0.37516611446909237,0.37516611446909237,0.06454837094581324,0.767666839610149,0.6871751195793239
quanTIseq_T_cell_CD8+,0.2967158922603598,0.2967158922603598,0.05105079254357211,0.8187176321537212,1.3454329972154813
quanTIseq_B_cell,0.24458179452501064,0.24458179452501064,0.042080976374783134,0.8607986085285043,1.2770871166864812
quanTIseq_Macrophage_M1,-0.2258828686479622,0.2258828686479622,0.03886377429482443,0.8996623828233288,0.7978115449379289
SEX,0.18844007652068462,0.18844007652068462,0.03242163801900787,0.9320840208423367,1.2073647313233513
quanTIseq_Myeloid_dendritic_cell,-0.15192938955742766,0.15192938955742766,0.026139873022918564,0.9582238938652552,0.8590489364252282
quanTIseq_T_cell_regulatory_(Tregs),-0.1508566982643592,0.1508566982643592,0.025955313509612544,0.9841792073748677,0.8599709251558847
quanTIseq_T_cell_CD4+_(non-regulatory),-0.09195313855364108,0.09195313855364108,0.015820792625132377,1.0000000000000002,0.9121478931131344
quanTIseq_Macrophage_M2,0.0,0.0,0.0,1.0000000000000002,1.0
