,coef,abs coef,% total,cum % total,coef OR
CIBERSORTx_CBSX_LM22_Plasma_cells,0.0007398591366565377,0.0007398591366565377,0.09921741458649307,0.09921741458649307,1.0007401328999388
CIBERSORTx_CBSX_LM22_Macrophages_M1,-0.0006767939610765315,0.0006767939610765315,0.09076017811879476,0.18997759270528783,0.9993234350122975
CIBERSORTx_CBSX_LM22_T_cells_CD8,-0.0006686109629801945,0.0006686109629801945,0.08966281258735895,0.2796404052926468,0.999331612507522
CIBERSORTx_CBSX_LM22_B_cells_naive,-0.0005623085122081064,0.0005623085122081064,0.0754073228498432,0.35504772814248997,0.9994378495535947
CIBERSORTx_CBSX_LM22_Mast_cells_activated,0.0005556134348277337,0.0005556134348277337,0.07450949212068715,0.4295572202631771,1.000555767816563
TMB,-0.0005140485123913911,0.0005140485123913911,0.06893550656411426,0.4984927268272914,0.9994860835879089
CIBERSORTx_CBSX_LM22_T_cells_regulatory_(Tregs),-0.0005112355966377689,0.0005112355966377689,0.06855828580046291,0.5670510126277544,0.9994888950620131
CIBERSORTx_CBSX_LM22_Macrophages_M0,0.0004878077304953589,0.0004878077304953589,0.06541653598247367,0.632467548610228,1.0004879267280349
CIBERSORTx_CBSX_LM22_Dendritic_cells_activated,0.000445705499483906,0.000445705499483906,0.05977049567248041,0.6922380442827084,1.0004458048409386
CIBERSORTx_CBSX_LM22_B_cells_memory,-0.000381533930074087,0.000381533930074087,0.05116488834623659,0.743402932628945,0.9996185388447402
CIBERSORTx_CBSX_LM22_T_cells_CD4_naive,-0.000326248864170899,0.000326248864170899,0.04375098881808277,0.7871539214470278,0.9996738043492027
CIBERSORTx_CBSX_LM22_NK_cells_activated,0.0003202469317308552,0.0003202469317308552,0.042946110984289944,0.8301000324313177,1.000320298216254
CIBERSORTx_CBSX_LM22_Eosinophils,0.0003067453667036902,0.0003067453667036902,0.04113550906225325,0.871235541493571,1.0003067924178746
CIBERSORTx_CBSX_LM22_T_cells_gamma_delta,0.0002624059819519142,0.0002624059819519142,0.03518945946785698,0.906425000961428,1.0002624404134133
CIBERSORTx_CBSX_LM22_T_cells_CD4_memory_activated,-0.00023352896938822585,0.00023352896938822585,0.03131696214289539,0.9377419631043233,0.9997664982963791
CIBERSORTx_CBSX_LM22_T_cells_follicular_helper,0.00011640876759854419,0.00011640876759854419,0.015610778301017581,0.9533527414053409,1.000116415543362
CIBERSORTx_CBSX_LM22_NK_cells_resting,9.480989818226589e-05,9.480989818226589e-05,0.012714302640584886,0.9660670440459258,1.0000948143927828
CIBERSORTx_CBSX_LM22_Neutrophils,8.781588154510232e-05,8.781588154510232e-05,0.011776383226018775,0.9778434272719446,1.0000878197374725
CIBERSORTx_CBSX_LM22_Monocytes,5.9368184449953214e-05,5.9368184449953214e-05,0.00796145844253169,0.9858048857144763,1.0000593699467755
CIBERSORTx_CBSX_LM22_Dendritic_cells_resting,5.111619744664798e-05,5.111619744664798e-05,0.006854841283798987,0.9926597269982753,1.0000511175039017
CIBERSORTx_CBSX_LM22_Macrophages_M2,2.5970140542819374e-05,2.5970140542819374e-05,0.0034826767332368164,0.9961424037315121,1.0000259704777699
CIBERSORTx_CBSX_LM22_Mast_cells_resting,-2.478964394511916e-05,2.478964394511916e-05,0.0033243684627175603,0.9994667721942296,0.9999752106633155
CIBERSORTx_CBSX_LM22_T_cells_CD4_memory_resting,-3.9762522099846175e-06,3.9762522099846175e-06,0.0005332278057703392,1.0,0.9999960237556953
