,coef,abs coef,% total,cum % total,coef OR
TMB,-0.0005400412072243296,0.0005400412072243296,0.1873748978508134,0.1873748978508134,0.999460104588782
DeconRNASeq_BPRNACanProMet_cancer,-0.00043767756717275156,0.00043767756717275156,0.15185839218102576,0.33923329003183916,0.9995624181996815
DeconRNASeq_BPRNACanProMet_CD4,0.00039144666892670373,0.00039144666892670373,0.13581793134114356,0.4750512213729827,1.000391523294172
DeconRNASeq_BPRNACanProMet_M2,0.00036590635218186336,0.00036590635218186336,0.12695635897014118,0.602007580343124,1.0003659733040768
DeconRNASeq_BPRNACanProMet_CD8,0.0002871621465776188,0.0002871621465776188,0.09963494852208668,0.7016425288652106,1.0002872033815737
DeconRNASeq_BPRNACanProMet_NK,0.0002748919846419846,0.0002748919846419846,0.09537764313770819,0.7970201720029189,1.000274929770906
DeconRNASeq_BPRNACanProMet_Neu,0.00019515206875843683,0.00019515206875843683,0.06771075699376675,0.8647309289966856,1.0001951711121622
DeconRNASeq_BPRNACanProMet_B,0.00017536599389253105,0.00017536599389253105,0.06084569983280901,0.9255766288294945,1.0001753813714074
DeconRNASeq_BPRNACanProMet_M1,0.00015278180344253126,0.00015278180344253126,0.05300979708686503,0.9785864259163596,1.0001527934751766
DeconRNASeq_BPRNACanProMet_M0,3.921129539271138e-05,3.921129539271138e-05,0.013604910829990387,0.99219133674635,1.0000392120641657
DeconRNASeq_BPRNACanProMet_Mono,-2.2505682344211423e-05,2.2505682344211423e-05,0.007808663253650115,1.0,0.9999774945709068
