,coef,abs coef,% total,cum % total,coef OR
TMB,-2.5681533194227226,2.5681533194227226,0.26251151580609083,0.26251151580609083,0.07667701271136021
DeconRNASeq_BPRNACan_B,-1.926710671832638,1.926710671832638,0.19694452630898573,0.45945604211507657,0.14562642463151934
DeconRNASeq_BPRNACan_Neu,1.764697170256132,1.764697170256132,0.18038382895565902,0.6398398710707356,5.8398036240511635
DeconRNASeq_BPRNACan_CD8,-1.3502735431568094,1.3502735431568094,0.1380222714454728,0.7778621425162084,0.2591693569446756
DeconRNASeq_BPRNACan_CD4,0.8184516934746482,0.8184516934746482,0.0836605015141336,0.8615226440303421,2.2669871278955083
DeconRNASeq_BPRNACan_M0,-0.5035624017597978,0.5035624017597978,0.051473145465721064,0.9129957894960631,0.6043737979082534
DeconRNASeq_BPRNACan_cancer,0.39889230886728133,0.39889230886728133,0.04077397710339166,0.9537697665994548,1.4901731315335585
DeconRNASeq_BPRNACan_M2,0.1577255559709747,0.1577255559709747,0.016122392096358983,0.9698921586958138,1.1708448192403418
DeconRNASeq_BPRNACan_NK,-0.13443136303429631,0.13443136303429631,0.01374130610315141,0.9836334647989652,0.874212880136868
DeconRNASeq_BPRNACan_M1,0.1021607276835678,0.1021607276835678,0.010442666050053026,0.9940761308490182,1.1075614732126655
DeconRNASeq_BPRNACan_Mono,-0.05795328321961159,0.05795328321961159,0.005923869150981858,1.0,0.9436940327539105
