,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_CBSX_HNSCC_Mast.cells,2.671933558155274,2.671933558155274,0.28614219331986984,0.28614219331986984,14.467916723378202
DeconRNASeq_CBSX_HNSCC_Myocytes,-2.2697764046526197,2.2697764046526197,0.2430744569941308,0.5292166503140007,0.10333528278862698
DeconRNASeq_CBSX_HNSCC_B.cells,0.946141740550071,0.946141740550071,0.10132402881282408,0.6305406791268248,2.5757525415118883
DeconRNASeq_CBSX_HNSCC_T.cells.CD8,-0.8790772269267232,0.8790772269267232,0.09414196885345744,0.7246826479802821,0.41516583883399694
DeconRNASeq_CBSX_HNSCC_Malignant.cells,0.6376843147092793,0.6376843147092793,0.06829076565158644,0.7929734136318686,1.8920943073489016
DeconRNASeq_CBSX_HNSCC_Endothelial.cells,0.6129538353654304,0.6129538353654304,0.06564233392703925,0.8586157475589078,1.845875767060215
DeconRNASeq_CBSX_HNSCC_Macrophages,-0.4186318708051423,0.4186318708051423,0.04483204357390033,0.9034477911328082,0.6579463599548863
DeconRNASeq_CBSX_HNSCC_Dendritic.cells,-0.28423129997159335,0.28423129997159335,0.030438843561731717,0.9338866346945399,0.7525925499374929
DeconRNASeq_CBSX_HNSCC_CAFs,-0.2554749181450299,0.2554749181450299,0.027359270664912574,0.9612459053594525,0.7745485634316238
SEX,0.19232246958790286,0.19232246958790286,0.020596160823164615,0.9818420661826172,1.2120613068627226
DeconRNASeq_CBSX_HNSCC_T.cells.CD4,0.1695548361831147,0.1695548361831147,0.018157933817382826,1.0,1.1847773139175728
