,coef,abs coef,% total,cum % total,coef OR
TMB,-0.1967014329649499,0.1967014329649499,0.2271873823425476,0.2271873823425476,0.8214358503703003
quanTIseq_Macrophage_M2,0.19411604702019358,0.19411604702019358,0.22420129802032984,0.45138868036287744,1.2142371833874777
quanTIseq_B_cell,-0.1508118378764029,0.1508118378764029,0.17418554688167354,0.625574227244551,0.8600095046505574
quanTIseq_T_cell_CD8+,-0.14648430046881597,0.14648430046881597,0.1691873021775065,0.7947615294220576,0.8637392925302756
quanTIseq_NK_cell,0.12880623355626622,0.12880623355626622,0.14876938408611046,0.943530913508168,1.1374696993524567
quanTIseq_Monocyte,0.02978817918050542,0.02978817918050542,0.03440492705498337,0.9779358405631513,1.0302362853452984
quanTIseq_T_cell_regulatory_(Tregs),0.019103401490191216,0.019103401490191216,0.02206415943684872,1.0,1.0192870389673163
quanTIseq_Macrophage_M1,0.0,0.0,0.0,1.0,1.0
quanTIseq_Neutrophil,0.0,0.0,0.0,1.0,1.0
quanTIseq_T_cell_CD4+_(non-regulatory),0.0,0.0,0.0,1.0,1.0
quanTIseq_Myeloid_dendritic_cell,0.0,0.0,0.0,1.0,1.0
quanTIseq_uncharacterized_cell,0.0,0.0,0.0,1.0,1.0
