,coef,abs coef,% total,cum % total,coef OR
CIBERSORTx_CBSX_HNSCC_B_cells,-0.2474902179898414,0.2474902179898414,0.4109155318508165,0.4109155318508165,0.7807578581548713
CIBERSORTx_CBSX_HNSCC_T_cells_CD8,-0.17119988140916087,0.17119988140916087,0.28424836704022627,0.6951638988910427,0.8426531259431688
CIBERSORTx_CBSX_HNSCC_Myocytes,-0.1255134592200686,0.1255134592200686,0.20839381155649248,0.9035577104475352,0.8820438927242787
CIBERSORTx_CBSX_HNSCC_Endothelial_cells,0.05808620364694419,0.05808620364694419,0.09644228955246477,1.0,1.0598063509451598
CIBERSORTx_CBSX_HNSCC_T_cells_CD4,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_HNSCC_Macrophages,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_HNSCC_Dendritic_cells,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_HNSCC_Mast_cells,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_HNSCC_CAFs,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_HNSCC_Malignant_cells,0.0,0.0,0.0,1.0,1.0
