,coef,abs coef,% total,cum % total,coef OR
CIBERSORTx_CBSX_HNSCC_Myocytes,-0.6394980463554903,0.6394980463554903,0.44583636176158664,0.44583636176158664,0.5275571668357655
CIBERSORTx_CBSX_HNSCC_Dendritic_cells,-0.42583214821298376,0.42583214821298376,0.29687573990626537,0.742712101667852,0.6532259780668674
CIBERSORTx_CBSX_HNSCC_CAFs,0.23326500356121688,0.23326500356121688,0.16262445383019208,0.905336555498044,1.2627160592453741
CIBERSORTx_CBSX_HNSCC_Mast_cells,0.1169470832600784,0.1169470832600784,0.08153154245966066,0.9868680979577047,1.1240599465288765
CIBERSORTx_CBSX_HNSCC_Malignant_cells,0.011352390966814589,0.011352390966814589,0.00791450218618211,0.9947826001438868,1.0114170738940385
CIBERSORTx_CBSX_HNSCC_Macrophages,-0.007483725647357561,0.007483725647357561,0.00521739985611314,0.9999999999999999,0.9925442077021486
CIBERSORTx_CBSX_HNSCC_B_cells,0.0,0.0,0.0,0.9999999999999999,1.0
CIBERSORTx_CBSX_HNSCC_T_cells_CD8,0.0,0.0,0.0,0.9999999999999999,1.0
CIBERSORTx_CBSX_HNSCC_T_cells_CD4,0.0,0.0,0.0,0.9999999999999999,1.0
CIBERSORTx_CBSX_HNSCC_Endothelial_cells,0.0,0.0,0.0,0.9999999999999999,1.0
