,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_BPRNACanProMet_M2,0.5749516289161376,0.5749516289161376,0.34009749498962266,0.34009749498962266,1.777044567263284
DeconRNASeq_BPRNACanProMet_M0,0.3141984798807834,0.3141984798807834,0.18585583649609613,0.5259533314857188,1.3691614605840763
DeconRNASeq_BPRNACanProMet_NK,-0.23830660436301182,0.23830660436301182,0.14096399611238425,0.6669173275981031,0.7879610617539412
DeconRNASeq_BPRNACanProMet_B,-0.23435531279678762,0.23435531279678762,0.1386267136418923,0.8055440412399953,0.7910806848631914
DeconRNASeq_BPRNACanProMet_CD4,0.1579342358705141,0.1579342358705141,0.0934218381012651,0.8989658793412605,1.1710891765149363
DeconRNASeq_BPRNACanProMet_Mono,-0.09422575749347509,0.09422575749347509,0.05573676545180249,0.954702644793063,0.9100772822812029
DeconRNASeq_BPRNACanProMet_cancer,-0.05213377983903361,0.05213377983903361,0.030838364543849313,0.9855410093369124,0.9492018742746055
DeconRNASeq_BPRNACanProMet_Neu,-0.024443638535118453,0.024443638535118453,0.01445899066308787,1.0000000000000002,0.9758526878554786
DeconRNASeq_BPRNACanProMet_CD8,0.0,0.0,0.0,1.0000000000000002,1.0
DeconRNASeq_BPRNACanProMet_M1,0.0,0.0,0.0,1.0000000000000002,1.0
