,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_BPRNACan_M2,0.7561790792174624,0.7561790792174624,0.27961324738527243,0.27961324738527243,2.1301216253990956
DeconRNASeq_BPRNACan_CD4,0.6089472170332223,0.6089472170332223,0.22517114466732993,0.5047843920526024,1.8384948435185402
DeconRNASeq_BPRNACan_Neu,-0.43738727077687395,0.43738727077687395,0.16173321704888413,0.6665176091014865,0.6457213139872542
DeconRNASeq_BPRNACan_CD8,-0.3714677889032758,0.3714677889032758,0.13735809097199525,0.8038757000734817,0.6897212221483197
DeconRNASeq_BPRNACan_M0,0.27000316003327274,0.27000316003327274,0.09983939314919539,0.9037150932226772,1.3099685902710383
DeconRNASeq_BPRNACan_NK,-0.18776961727248523,0.18776961727248523,0.06943179716130513,0.9731468903839823,0.828805627740541
DeconRNASeq_BPRNACan_Mono,-0.05402233288641417,0.05402233288641417,0.019975902990241885,0.9931227933742242,0.9474109478444465
DeconRNASeq_BPRNACan_B,-0.018598545750237314,0.018598545750237314,0.006877206625775849,1.0,0.9815733399442778
DeconRNASeq_BPRNACan_cancer,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACan_M1,0.0,0.0,0.0,1.0,1.0
