,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_BPRNACan_Neu,-0.6334622496323172,0.6334622496323172,0.2977090624717893,0.2977090624717893,0.5307510236937829
DeconRNASeq_BPRNACan_CD4,0.38931787976440557,0.38931787976440557,0.18296822116146658,0.4806772836332559,1.4759736589281678
DeconRNASeq_BPRNACan_M2,0.25665637083173054,0.25665637083173054,0.12062112238270978,0.6012984060159656,1.292600875071201
DeconRNASeq_BPRNACan_NK,0.2508400649299202,0.2508400649299202,0.1178876256698715,0.7191860316858372,1.2851045346105263
DeconRNASeq_BPRNACan_B,-0.2227126412969622,0.2227126412969622,0.10466854446278265,0.8238545761486198,0.8003448022978448
DeconRNASeq_BPRNACan_CD8,-0.1637511538462236,0.1637511538462236,0.07695833890421919,0.900812915052839,0.8489532543490037
DeconRNASeq_BPRNACan_M1,-0.12004525866584795,0.12004525866584795,0.05641782352829532,0.9572307385811343,0.886880296789825
DeconRNASeq_BPRNACan_Mono,0.0524392866463292,0.0524392866463292,0.02464495851683287,0.9818756970979672,1.053838578061913
DeconRNASeq_BPRNACan_cancer,0.03856470338529615,0.03856470338529615,0.018124302902032676,0.9999999999999999,1.0393179735737534
DeconRNASeq_BPRNACan_M0,0.0,0.0,0.0,0.9999999999999999,1.0
