,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_CBSX_LM22_T.cells.follicular.helper,-1.0144210525438218,1.0144210525438218,0.28435625851384366,0.28435625851384366,0.36261230254412885
DeconRNASeq_CBSX_LM22_T.cells.CD4.memory.activated,-0.7048402374693084,0.7048402374693084,0.1975764720913296,0.4819327306051733,0.4941875205985671
DeconRNASeq_CBSX_LM22_Mast.cells.activated,-0.5624719195166171,0.5624719195166171,0.15766866248661154,0.6396013930917848,0.5697988247327076
DeconRNASeq_CBSX_LM22_Monocytes,0.3779784224083216,0.3779784224083216,0.10595258223936797,0.7455539753311528,1.4593314536778363
DeconRNASeq_CBSX_LM22_Dendritic.cells.resting,0.2374726120396379,0.2374726120396379,0.06656685928369364,0.8121208346148464,1.2680402672785585
DeconRNASeq_CBSX_LM22_T.cells.gamma.delta,-0.1764711255165679,0.1764711255165679,0.049467298477079265,0.8615881330919257,0.8382229820613674
DeconRNASeq_CBSX_LM22_Plasma.cells,0.17014268847983083,0.17014268847983083,0.04769335000322378,0.9092814830951494,1.185473992734715
DeconRNASeq_CBSX_LM22_T.cells.CD4.memory.resting,-0.13492634731265585,0.13492634731265585,0.0378217222528599,0.9471032053480093,0.8737802655827952
DeconRNASeq_CBSX_LM22_Mast.cells.resting,0.07534019769162788,0.07534019769162788,0.021118899965218495,0.9682221053132278,1.0782509069658537
DeconRNASeq_CBSX_LM22_Neutrophils,-0.06525682792293801,0.06525682792293801,0.01829239188610665,0.9865144971993345,0.9368268291892435
DeconRNASeq_CBSX_LM22_Dendritic.cells.activated,-0.04428209532350086,0.04428209532350086,0.012412884091638194,0.9989273812909727,0.9566840433093895
DeconRNASeq_CBSX_LM22_T.cells.CD4.naive,-0.0038264921808874273,0.0038264921808874273,0.0010726187090272584,1.0,0.9961808195113003
DeconRNASeq_CBSX_LM22_Macrophages.M2,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_LM22_Eosinophils,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_LM22_B.cells.naive,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_LM22_Macrophages.M1,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_LM22_Macrophages.M0,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_LM22_B.cells.memory,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_LM22_NK.cells.resting,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_LM22_T.cells.regulatory..Tregs.,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_LM22_T.cells.CD8,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_LM22_NK.cells.activated,0.0,0.0,0.0,1.0,1.0
