,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_CBSX_LM22_Mast.cells.resting,4.312875804444838,4.312875804444838,0.24707939694203726,0.24707939694203726,74.6548733453774
DeconRNASeq_CBSX_LM22_T.cells.gamma.delta,1.9267374983568843,1.9267374983568843,0.11038044236493091,0.3574598393069682,6.86706982894391
DeconRNASeq_CBSX_LM22_T.cells.follicular.helper,-1.841406502855694,1.841406502855694,0.10549193366102408,0.4629517729679923,0.15859420596025298
DeconRNASeq_CBSX_LM22_B.cells.memory,1.7695156956964848,1.7695156956964848,0.10137339696208471,0.564325169930077,5.868010770229502
DeconRNASeq_CBSX_LM22_Macrophages.M2,1.1691213735158332,1.1691213735158332,0.06697753819449985,0.6313027081245768,3.2191629537645254
DeconRNASeq_CBSX_LM22_T.cells.regulatory..Tregs.,-1.1581411993414785,1.1581411993414785,0.06634849740215379,0.6976512055267305,0.3140694311070837
DeconRNASeq_CBSX_LM22_T.cells.CD4.naive,-1.1373719642162352,1.1373719642162352,0.06515865324192924,0.7628098587686598,0.3206606230446561
DeconRNASeq_CBSX_LM22_Monocytes,-0.897472826141475,0.897472826141475,0.051415124086431986,0.8142249828550918,0.4075984313511953
DeconRNASeq_CBSX_LM22_Mast.cells.activated,0.7688883473759376,0.7688883473759376,0.04404867605731125,0.858273658912403,2.1573666779560274
DeconRNASeq_CBSX_LM22_Neutrophils,0.70468705114581,0.70468705114581,0.040370662065095465,0.8986443209774985,2.023213423515629
DeconRNASeq_CBSX_LM22_Dendritic.cells.activated,-0.44409600204504135,0.44409600204504135,0.025441718552751798,0.9240860395302503,0.6414038417910012
DeconRNASeq_CBSX_LM22_Eosinophils,-0.34710077909499487,0.34710077909499487,0.019884980478342806,0.9439710200085931,0.7067341006456175
DeconRNASeq_CBSX_LM22_Dendritic.cells.resting,-0.2625805945056388,0.2625805945056388,0.01504292214310264,0.9590139421516958,0.7690643795073137
DeconRNASeq_CBSX_LM22_Macrophages.M0,-0.18500366396300358,0.18500366396300358,0.010598634367569089,0.9696125765192649,0.8311012387223561
DeconRNASeq_CBSX_LM22_NK.cells.resting,-0.17209595085645385,0.17209595085645385,0.00985916721969056,0.9794717437389555,0.8418983884214629
DeconRNASeq_CBSX_LM22_Macrophages.M1,0.13569922358713318,0.13569922358713318,0.0077740430862528395,0.9872457868252084,1.1453373513223117
DeconRNASeq_CBSX_LM22_T.cells.CD8,0.12615136852076606,0.12615136852076606,0.0072270581094406846,0.994472844934649,1.134453875892205
DeconRNASeq_CBSX_LM22_T.cells.CD4.memory.activated,0.05396920465739891,0.05396920465739891,0.0030918299401176425,0.9975646748747667,1.0554520986456275
DeconRNASeq_CBSX_LM22_B.cells.naive,0.042509634306092406,0.042509634306092406,0.002435325125233429,1.0000000000000002,1.043426109011772
DeconRNASeq_CBSX_LM22_T.cells.CD4.memory.resting,0.0,0.0,0.0,1.0000000000000002,1.0
DeconRNASeq_CBSX_LM22_Plasma.cells,0.0,0.0,0.0,1.0000000000000002,1.0
DeconRNASeq_CBSX_LM22_NK.cells.activated,0.0,0.0,0.0,1.0000000000000002,1.0
