,coef,abs coef,% total,cum % total,coef OR
EpiDISH_CBSX_HNSCC_T.cells.CD8,-1.0969063347169972,1.0969063347169972,0.32897386519249794,0.32897386519249794,0.3339024699727914
EpiDISH_CBSX_HNSCC_B.cells,-0.6505198079715645,0.6505198079715645,0.1950978026468416,0.5240716678393396,0.5217744837209851
EpiDISH_CBSX_HNSCC_Endothelial.cells,0.47167797920666515,0.47167797920666515,0.1414612378784714,0.665532905717811,1.6026812039479656
EpiDISH_CBSX_HNSCC_Myocytes,-0.37687588992692816,0.37687588992692816,0.11302908396377481,0.7785619896815859,0.6860012082729802
EpiDISH_CBSX_HNSCC_Macrophages,0.23489842700611094,0.23489842700611094,0.0704485342221816,0.8490105239037674,1.2647802946871123
EpiDISH_CBSX_HNSCC_Mast.cells,0.1600901219874674,0.1600901219874674,0.0480127286555815,0.8970232525593489,1.1736166348895734
EpiDISH_CBSX_HNSCC_Malignant.cells,0.13631815427406024,0.13631815427406024,0.04088326294424666,0.9379065155035955,1.14604645517636
EpiDISH_CBSX_HNSCC_T.cells.CD4,-0.09898479228936194,0.09898479228936194,0.02968659099148092,0.9675931064950765,0.9057564824013028
EpiDISH_CBSX_HNSCC_Dendritic.cells,0.07632556252915504,0.07632556252915504,0.022890847215943918,0.9904839537110204,1.0793139011281356
EpiDISH_CBSX_HNSCC_CAFs,-0.03172960700003949,0.03172960700003949,0.00951604628897963,1.0,0.9687684948875067
