,coef,abs coef,% total,cum % total,coef OR
CIBERSORTx_CBSX_LM22_B_cells_memory,-1.6290934508850947,1.6290934508850947,0.10353271048346022,0.10353271048346022,0.19610727444378037
CIBERSORTx_CBSX_LM22_Plasma_cells,1.5917599354646985,1.5917599354646985,0.10116007799804344,0.20469278848150366,4.912386808802094
CIBERSORTx_CBSX_LM22_NK_cells_activated,1.527281951192203,1.527281951192203,0.09706235083904313,0.30175513932054676,4.605641435907151
CIBERSORTx_CBSX_LM22_Macrophages_M0,1.360394553372923,1.360394553372923,0.08645626520756866,0.3882114045281154,3.8977308613086974
CIBERSORTx_CBSX_LM22_B_cells_naive,-1.2262520013294922,1.2262520013294922,0.07793119134106978,0.4661425958691852,0.2933901454297991
CIBERSORTx_CBSX_LM22_T_cells_CD4_memory_activated,-1.1751283229323133,1.1751283229323133,0.074682161648225,0.5408247575174102,0.30877935367350984
CIBERSORTx_CBSX_LM22_Dendritic_cells_resting,1.1133711282435674,1.1133711282435674,0.07075734704995454,0.6115821045673647,3.044604867103127
CIBERSORTx_CBSX_LM22_T_cells_regulatory_(Tregs),-0.9151352607065043,0.9151352607065043,0.058158992627744086,0.6697410971951088,0.4004624555926596
CIBERSORTx_CBSX_LM22_Neutrophils,-0.7834803010628687,0.7834803010628687,0.04979201109387898,0.7195331082889878,0.45681339337933047
CIBERSORTx_CBSX_LM22_T_cells_gamma_delta,0.7522806486783072,0.7522806486783072,0.04780919999377885,0.7673423082827666,2.1218336597283045
CIBERSORTx_CBSX_LM22_T_cells_follicular_helper,-0.6580857025322974,0.6580857025322974,0.04182289019488946,0.8091651984776561,0.5178416893069204
CIBERSORTx_CBSX_LM22_Mast_cells_resting,-0.6528643166436159,0.6528643166436159,0.04149105887284861,0.8506562573505048,0.5205526118233669
CIBERSORTx_CBSX_LM22_T_cells_CD8,-0.5301871121938899,0.5301871121938899,0.03369463474241389,0.8843508920929186,0.5884948448143179
CIBERSORTx_CBSX_LM22_Eosinophils,0.5221060902267032,0.5221060902267032,0.033181066839182385,0.917531958932101,1.6855738847276183
CIBERSORTx_CBSX_LM22_NK_cells_resting,0.5155636834704176,0.5155636834704176,0.03276528154203105,0.9502972404741321,1.6745821700965713
CIBERSORTx_CBSX_LM22_Dendritic_cells_activated,0.2992915223471946,0.2992915223471946,0.019020678351196522,0.9693179188253286,1.348902801470862
CIBERSORTx_CBSX_LM22_Monocytes,-0.20369029753299067,0.20369029753299067,0.012944996243963442,0.982262915069292,0.8157149610072288
CIBERSORTx_CBSX_LM22_T_cells_CD4_naive,-0.12411141968886569,0.12411141968886569,0.007887571873398242,0.9901504869426903,0.8832814204588179
CIBERSORTx_CBSX_LM22_Mast_cells_activated,-0.08364506314278128,0.08364506314278128,0.005315839985132406,0.9954663269278227,0.9197576540574985
CIBERSORTx_CBSX_LM22_Macrophages_M2,0.06480810477571892,0.06480810477571892,0.004118707091407689,0.9995850340192304,1.0669542613110212
CIBERSORTx_CBSX_LM22_Macrophages_M1,-0.00652951476355101,0.00652951476355101,0.0004149659807698089,1.0000000000000002,0.9934917561964435
CIBERSORTx_CBSX_LM22_T_cells_CD4_memory_resting,0.0,0.0,0.0,1.0000000000000002,1.0
