,coef,abs coef,% total,cum % total,coef OR
CIBERSORTx_CBSX_LM22_T_cells_CD8,-0.5070239865286761,0.5070239865286761,0.1991694941988501,0.1991694941988501,0.6022853235756154
CIBERSORTx_CBSX_LM22_NK_cells_activated,0.39667974167923775,0.39667974167923775,0.1558239957247385,0.3549934899235886,1.4868796682062526
CIBERSORTx_CBSX_LM22_Monocytes,0.24835780597840001,0.24835780597840001,0.09756007587671879,0.45255356580030737,1.2819185282581542
CIBERSORTx_CBSX_LM22_Neutrophils,-0.23913623570893974,0.23913623570893974,0.0939376526086163,0.5464912184089237,0.7873076156549027
CIBERSORTx_CBSX_LM22_Macrophages_M2,0.2218627192978672,0.2218627192978672,0.08715225858774728,0.633643476996671,1.2483999848736116
CIBERSORTx_CBSX_LM22_Dendritic_cells_resting,0.16581921522611798,0.16581921522611798,0.06513721264184866,0.6987806896385197,1.180359691373282
CIBERSORTx_CBSX_LM22_Dendritic_cells_activated,-0.1626574319723931,0.1626574319723931,0.06389519887496119,0.7626758885134809,0.8498822810489457
CIBERSORTx_CBSX_LM22_Macrophages_M1,-0.15128023521415715,0.15128023521415715,0.05942600099883568,0.8221018895123166,0.8596067728147587
CIBERSORTx_CBSX_LM22_Mast_cells_resting,0.10475104339007342,0.10475104339007342,0.04114837341649664,0.8632502629288132,1.1104341260252704
CIBERSORTx_CBSX_LM22_T_cells_follicular_helper,-0.10352091539586274,0.10352091539586274,0.040665153732780686,0.9039154166615939,0.9016571640281192
CIBERSORTx_CBSX_LM22_Plasma_cells,0.09352832080135305,0.09352832080135305,0.03673985618473244,0.9406552728463263,1.098041700321824
CIBERSORTx_CBSX_LM22_Eosinophils,-0.08046274454393752,0.08046274454393752,0.031607427968816514,0.9722627008151429,0.922689278153294
CIBERSORTx_CBSX_LM22_Mast_cells_activated,-0.06111182993315676,0.06111182993315676,0.024005989027630712,0.9962686898427736,0.9407180334587106
CIBERSORTx_CBSX_LM22_T_cells_gamma_delta,0.004897982889960635,0.004897982889960635,0.0019240288442111174,0.9981927186869848,1.004909997616121
CIBERSORTx_CBSX_LM22_T_cells_regulatory_(Tregs),0.004600779751888011,0.004600779751888011,0.0018072813130153961,1.0000000000000002,1.0046113795886544
CIBERSORTx_CBSX_LM22_T_cells_CD4_naive,0.0,0.0,0.0,1.0000000000000002,1.0
CIBERSORTx_CBSX_LM22_Macrophages_M0,0.0,0.0,0.0,1.0000000000000002,1.0
CIBERSORTx_CBSX_LM22_T_cells_CD4_memory_resting,0.0,0.0,0.0,1.0000000000000002,1.0
CIBERSORTx_CBSX_LM22_B_cells_memory,0.0,0.0,0.0,1.0000000000000002,1.0
CIBERSORTx_CBSX_LM22_NK_cells_resting,0.0,0.0,0.0,1.0000000000000002,1.0
CIBERSORTx_CBSX_LM22_T_cells_CD4_memory_activated,0.0,0.0,0.0,1.0000000000000002,1.0
CIBERSORTx_CBSX_LM22_B_cells_naive,0.0,0.0,0.0,1.0000000000000002,1.0
