,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_BPRNACan3DProMet_M2,1.3972860805419582,1.3972860805419582,0.2832548014867788,0.2832548014867788,4.0442094012491046
DeconRNASeq_BPRNACan3DProMet_Neu,-0.6906171063574287,0.6906171063574287,0.140000400840444,0.4232552023272228,0.5012666387706218
DeconRNASeq_BPRNACan3DProMet_NK,-0.6666386477903942,0.6666386477903942,0.13513953976414247,0.5583947420913653,0.5134315046048592
DeconRNASeq_BPRNACan3DProMet_B,-0.5934299747236091,0.5934299747236091,0.12029883645691447,0.6786935785482797,0.5524292131888308
DeconRNASeq_BPRNACan3DProMet_M0,0.47129802000190163,0.47129802000190163,0.0955405116788765,0.7742340902271563,1.6020723661463123
DeconRNASeq_BPRNACan3DProMet_Mono,-0.3674466986695825,0.3674466986695825,0.0744879972240584,0.8487220874512147,0.6925002370089003
DeconRNASeq_BPRNACan3DProMet_CD4,0.2940076669001971,0.2940076669001971,0.05960059610062477,0.9083226835518394,1.341794191029683
DeconRNASeq_BPRNACan3DProMet_M1,0.21287885119094385,0.21287885119094385,0.043154338667308896,0.9514770222191483,1.2372347526469598
DeconRNASeq_BPRNACan3DProMet_CD8,-0.127234917694364,0.127234917694364,0.0257927863560518,0.9772698085752001,0.8805267969737653
DeconRNASeq_BPRNACan3DProMet_cancer,-0.11212724345436939,0.11212724345436939,0.022730191424799925,1.0,0.8939305034580559
