,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_BPRNACanProMet_M2,1.3735027322288247,1.3735027322288247,0.26644518371790354,0.26644518371790354,3.949159345065868
DeconRNASeq_BPRNACanProMet_Neu,-0.9898436358071876,0.9898436358071876,0.19201932635886806,0.4584645100767716,0.37163479685412265
DeconRNASeq_BPRNACanProMet_CD8,0.5977492979054764,0.5977492979054764,0.11595712025940014,0.5744216303361718,1.8180223654466154
DeconRNASeq_BPRNACanProMet_B,-0.5160650081804383,0.5160650081804383,0.10011122125100393,0.6745328515871757,0.5968645903321513
DeconRNASeq_BPRNACanProMet_M0,0.45356444763290954,0.45356444763290954,0.08798676532761819,0.7625196169147939,1.5739123269235582
DeconRNASeq_BPRNACanProMet_NK,-0.37215073376097185,0.37215073376097185,0.07219335520853927,0.8347129721233332,0.6892503413975054
DeconRNASeq_BPRNACanProMet_Mono,-0.298446037034702,0.298446037034702,0.05789541389448326,0.8926083860178164,0.7419703196884287
DeconRNASeq_BPRNACanProMet_M1,0.2678860132252261,0.2678860132252261,0.05196708847708411,0.9445754744949005,1.307198128223784
DeconRNASeq_BPRNACanProMet_CD4,0.19915963355854815,0.19915963355854815,0.0386348886737104,0.9832103631686109,1.2203767634368636
DeconRNASeq_BPRNACanProMet_cancer,-0.08654917960708167,0.08654917960708167,0.01678963683138915,1.0,0.9170904455278651
