,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_BPRNACan_M2,0.42524790530819373,0.42524790530819373,0.4884390499278825,0.4884390499278825,1.529969660253711
DeconRNASeq_BPRNACan_B,-0.34413002056245356,0.34413002056245356,0.3952671799132523,0.8837062298411348,0.708836758703631
DeconRNASeq_BPRNACan_Mono,-0.08539028077404724,0.08539028077404724,0.09807913711914322,0.981785366960278,0.9181538766605039
DeconRNASeq_BPRNACan_Neu,-0.009559233408322943,0.009559233408322943,0.01097971988978112,0.992765086850059,0.9904863108251702
DeconRNASeq_BPRNACan_CD4,0.006298905999742192,0.006298905999742192,0.007234913149940998,1.0,1.0063187858266067
DeconRNASeq_BPRNACan_cancer,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACan_CD8,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACan_M0,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACan_M1,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACan_NK,0.0,0.0,0.0,1.0,1.0
