,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_CBSX_HNSCC_Mast.cells,2.9944493637555127,2.9944493637555127,0.34869832652943955,0.34869832652943955,19.974358255569914
DeconRNASeq_CBSX_HNSCC_Myocytes,-2.628932167310461,2.628932167310461,0.3061344961769126,0.6548328227063521,0.072155471085921
DeconRNASeq_CBSX_HNSCC_B.cells,0.6679492328914817,0.6679492328914817,0.07778150551985728,0.7326143282262094,1.9502337416237538
DeconRNASeq_CBSX_HNSCC_Endothelial.cells,0.6403206474752775,0.6403206474752775,0.07456420566646338,0.8071785338926728,1.8970890786143881
DeconRNASeq_CBSX_HNSCC_Dendritic.cells,-0.4686007109065937,0.4686007109065937,0.054567723095075196,0.861746256987748,0.6258774393058973
DeconRNASeq_CBSX_HNSCC_T.cells.CD8,-0.4618476286416034,0.4618476286416034,0.0537813386221167,0.9155275956098647,0.630118344615665
DeconRNASeq_CBSX_HNSCC_Macrophages,-0.29835432614943286,0.29835432614943286,0.034742833023113366,0.9502704286329781,0.7420383695637003
DeconRNASeq_CBSX_HNSCC_Malignant.cells,0.24470784515550106,0.24470784515550106,0.028495795296178298,0.9787662239291564,1.2772481044688235
DeconRNASeq_CBSX_HNSCC_CAFs,-0.10531665771539137,0.10531665771539137,0.012263938320524272,0.9910301622496807,0.9000394730137877
DeconRNASeq_CBSX_HNSCC_T.cells.CD4,-0.0770285455963217,0.0770285455963217,0.008969837750319367,1.0,0.9258634239057235
