,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_CBSX_LM22_T.cells.follicular.helper,-0.5740503913449648,0.5740503913449648,0.3059965080489452,0.3059965080489452,0.5632394720123471
DeconRNASeq_CBSX_LM22_T.cells.CD4.memory.activated,-0.3829205907735875,0.3829205907735875,0.20411511846935468,0.5101116265182999,0.6818670436706343
DeconRNASeq_CBSX_LM22_Mast.cells.activated,-0.27817791324632,0.27817791324632,0.1482822263569614,0.6583938528752613,0.7571621003630862
DeconRNASeq_CBSX_LM22_Monocytes,0.19739423746072576,0.19739423746072576,0.1052206361717624,0.7636144890470237,1.2182242156695902
DeconRNASeq_CBSX_LM22_Mast.cells.resting,0.1833479957583438,0.1833479957583438,0.0977333127992094,0.861347801846233,1.2012323591197775
DeconRNASeq_CBSX_LM22_Dendritic.cells.resting,0.08019840319958717,0.08019840319958717,0.04274961170687176,0.9040974135531048,1.0835020166178306
DeconRNASeq_CBSX_LM22_Plasma.cells,0.06172624729113513,0.06172624729113513,0.032903062885820095,0.9370004764389249,1.0636711220173558
DeconRNASeq_CBSX_LM22_T.cells.gamma.delta,-0.050415288817870635,0.050415288817870635,0.026873777220851925,0.9638742536597769,0.9508344715729329
DeconRNASeq_CBSX_LM22_NK.cells.resting,0.03389332658032278,0.03389332658032278,0.018066775558574378,0.9819410292183512,1.0344742499363455
DeconRNASeq_CBSX_LM22_T.cells.regulatory..Tregs.,0.023039414611986817,0.023039414611986817,0.01228111769463677,0.994222146912988,1.0233068719956715
DeconRNASeq_CBSX_LM22_Dendritic.cells.activated,-0.010839270182790432,0.010839270182790432,0.005777853087011952,1.0,0.9892192630295983
DeconRNASeq_CBSX_LM22_B.cells.naive,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_LM22_Macrophages.M2,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_LM22_Eosinophils,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_LM22_NK.cells.activated,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_LM22_Macrophages.M1,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_LM22_Macrophages.M0,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_LM22_B.cells.memory,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_LM22_T.cells.CD4.memory.resting,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_LM22_T.cells.CD4.naive,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_LM22_T.cells.CD8,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_LM22_Neutrophils,0.0,0.0,0.0,1.0,1.0
