,coef,abs coef,% total,cum % total,coef OR
EpiDISH_BPRNACan3DProMet_M2,0.2325068380899366,0.2325068380899366,0.6953568564283933,0.6953568564283933,1.2617590743515155
EpiDISH_BPRNACan3DProMet_B,-0.10186368826710056,0.10186368826710056,0.30464314357160666,1.0,0.9031526535818512
EpiDISH_BPRNACan3DProMet_cancer,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan3DProMet_CD4,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan3DProMet_CD8,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan3DProMet_M0,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan3DProMet_M1,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan3DProMet_Mono,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan3DProMet_Neu,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan3DProMet_NK,0.0,0.0,0.0,1.0,1.0
