,coef,abs coef,% total,cum % total,coef OR
EpiDISH_BPRNACanProMet_M2,0.20994567640025508,0.20994567640025508,1.0,1.0,1.233611043943892
EpiDISH_BPRNACanProMet_B,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACanProMet_cancer,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACanProMet_CD4,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACanProMet_CD8,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACanProMet_M0,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACanProMet_M1,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACanProMet_Mono,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACanProMet_Neu,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACanProMet_NK,0.0,0.0,0.0,1.0,1.0
