,coef,abs coef,% total,cum % total,coef OR
EpiDISH_BPRNACan_M2,0.6707001131946219,0.6707001131946219,0.44742537393880527,0.44742537393880527,1.9556059870243327
EpiDISH_BPRNACan_M0,-0.38411036256561126,0.38411036256561126,0.2562407836582825,0.7036661575970877,0.6810562599156275
EpiDISH_BPRNACan_B,-0.25879377064945047,0.25879377064945047,0.17264183698186422,0.8763079945789519,0.7719822120186403
EpiDISH_BPRNACan_Neu,-0.10880673074035907,0.10880673074035907,0.0725851855856738,0.9488931801646258,0.8969037446709905
EpiDISH_BPRNACan_M1,0.03184771808988866,0.03184771808988866,0.02124567581716095,0.9701388559817867,1.0323602835385064
EpiDISH_BPRNACan_cancer,0.02712132094497771,0.02712132094497771,0.01809268692042068,0.9882315429022074,1.027492451557262
EpiDISH_BPRNACan_CD4,-0.017641166476836948,0.017641166476836948,0.01176845709779251,0.9999999999999999,0.9825135279016819
EpiDISH_BPRNACan_CD8,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_BPRNACan_Mono,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_BPRNACan_NK,0.0,0.0,0.0,0.9999999999999999,1.0
