,coef,abs coef,% total,cum % total,coef OR
EpiDISH_CBSX_HNSCC_T.cells.CD8,-1.0929637357627642,1.0929637357627642,0.3269095251099277,0.3269095251099277,0.3352215120200117
EpiDISH_CBSX_HNSCC_B.cells,-0.6401002259191807,0.6401002259191807,0.19145636221128667,0.5183658873212144,0.5272395783234715
EpiDISH_CBSX_HNSCC_Endothelial.cells,0.47981941061649885,0.47981941061649885,0.1435157732417319,0.6618816605629463,1.6157825826634569
EpiDISH_CBSX_HNSCC_Myocytes,-0.37026388720518105,0.37026388720518105,0.11074730804963762,0.7726289686125839,0.6905520787333506
EpiDISH_CBSX_HNSCC_Macrophages,0.25120288888655934,0.25120288888655934,0.07513571990093176,0.8477646885135157,1.285570885919066
EpiDISH_CBSX_HNSCC_Malignant.cells,0.1625193505145307,0.1625193505145307,0.048610143190891,0.8963748317044067,1.1764710835492287
EpiDISH_CBSX_HNSCC_Mast.cells,0.1607029729205438,0.1607029729205438,0.04806685788576953,0.9444416895901762,1.1743361073815148
EpiDISH_CBSX_HNSCC_T.cells.CD4,-0.08851953264831028,0.08851953264831028,0.02647652198708726,0.9709182115772634,0.9152852326168424
EpiDISH_CBSX_HNSCC_Dendritic.cells,0.08673720783595118,0.08673720783595118,0.025943421995811407,0.9968616335730749,1.0906100382842718
EpiDISH_CBSX_HNSCC_CAFs,-0.01049256883234259,0.01049256883234259,0.003138366426924962,0.9999999999999999,0.9895622861438321
