,coef,abs coef,% total,cum % total,coef OR
EpiDISH_CBSX_LM22_Neutrophils,-1.0654296922582145,1.0654296922582145,0.1386956930582806,0.1386956930582806,0.3445797596967671
EpiDISH_CBSX_LM22_Monocytes,1.0336687216946627,1.0336687216946627,0.1345611078702344,0.273256800928515,2.811361039267822
EpiDISH_CBSX_LM22_T.cells.regulatory..Tregs.,-0.6852817840429689,0.6852817840429689,0.0892087320906198,0.3624655330191348,0.5039482050029835
EpiDISH_CBSX_LM22_Macrophages.M1,-0.547920347211783,0.547920347211783,0.07132727091188881,0.4337928039310236,0.5781509141688336
EpiDISH_CBSX_LM22_T.cells.CD8,-0.5249745062383301,0.5249745062383301,0.06834022320733991,0.5021330271383635,0.5915704455305257
EpiDISH_CBSX_LM22_T.cells.CD4.memory.activated,-0.4970488435563552,0.4970488435563552,0.06470491140034591,0.5668379385387095,0.6083232704135876
EpiDISH_CBSX_LM22_NK.cells.activated,0.4944866737421731,0.4944866737421731,0.06437137280958467,0.6312093113482942,1.6396563443368373
EpiDISH_CBSX_LM22_Macrophages.M2,0.4575529508174965,0.4575529508174965,0.05956340815881253,0.6907727195071067,1.5802024169351316
EpiDISH_CBSX_LM22_B.cells.naive,0.42728336765644664,0.42728336765644664,0.055622969061222986,0.7463956885683297,1.5330870274566115
EpiDISH_CBSX_LM22_T.cells.CD4.memory.resting,-0.38549969226181985,0.38549969226181985,0.05018364644848743,0.7965793350168171,0.6801107052246391
EpiDISH_CBSX_LM22_T.cells.follicular.helper,-0.38206644881987345,0.38206644881987345,0.04973671308246749,0.8463160480992846,0.6824497037212617
EpiDISH_CBSX_LM22_B.cells.memory,-0.3646548298646573,0.3646548298646573,0.04747010030096907,0.8937861484002537,0.6944363081888106
EpiDISH_CBSX_LM22_Dendritic.cells.resting,0.3598487192158162,0.3598487192158162,0.046844449587271624,0.9406305979875254,1.4331125957631843
EpiDISH_CBSX_LM22_Mast.cells.resting,0.11831992622902963,0.11831992622902963,0.015402672076988358,0.9560332700645137,1.1256041640647096
EpiDISH_CBSX_LM22_Plasma.cells,-0.10370086969080379,0.10370086969080379,0.013499589974846214,0.9695328600393599,0.9014949215474415
EpiDISH_CBSX_LM22_Dendritic.cells.activated,-0.07250670848867392,0.07250670848867392,0.009438790995111591,0.9789716510344715,0.9300595073456792
EpiDISH_CBSX_LM22_T.cells.gamma.delta,0.06024843816231664,0.06024843816231664,0.00784303173388215,0.9868146827683536,1.0621003800374609
EpiDISH_CBSX_LM22_T.cells.CD4.naive,0.05260681432906521,0.05260681432906521,0.006848259088305629,0.9936629418566593,1.0540151399859656
EpiDISH_CBSX_LM22_NK.cells.resting,-0.023476357060171926,0.023476357060171926,0.003056109320590507,0.9967190511772498,0.9767970687501575
EpiDISH_CBSX_LM22_Mast.cells.activated,-0.017936982764908023,0.017936982764908023,0.002335003683518913,0.9990540548607687,0.9822229273811811
EpiDISH_CBSX_LM22_Eosinophils,0.007266541709848695,0.007266541709848695,0.0009459451392313098,1.0,1.0072930070891501
EpiDISH_CBSX_LM22_Macrophages.M0,0.0,0.0,0.0,1.0,1.0
