,coef,abs coef,% total,cum % total,coef OR
quanTIseq_T_cell_regulatory_(Tregs),-0.5291385750773816,0.5291385750773816,0.17017759565416846,0.17017759565416846,0.5891122271195466
quanTIseq_Macrophage_M2,0.5260504348639224,0.5260504348639224,0.16918441106827323,0.33936200672244166,1.6922354982535746
quanTIseq_NK_cell,0.43733684610318707,0.43733684610318707,0.1406530093745925,0.4800150160970341,1.5485776215485951
quanTIseq_Monocyte,-0.4328823093302281,0.4328823093302281,0.1392203745347221,0.6192353906317563,0.6486368258154565
quanTIseq_B_cell,-0.26783081698061345,0.26783081698061345,0.0861377465613558,0.705373137193112,0.7650372014583778
quanTIseq_uncharacterized_cell,0.21972788362731696,0.21972788362731696,0.07066724048309535,0.7760403776762074,1.2457376988375057
quanTIseq_T_cell_CD4+_(non-regulatory),0.207876573520474,0.207876573520474,0.06685571066023271,0.84289608833644,1.2310612146196283
quanTIseq_Macrophage_M1,-0.20074573281019206,0.20074573281019206,0.06456234294102763,0.9074584312774676,0.8181204262913376
quanTIseq_Neutrophil,-0.18919955489856422,0.18919955489856422,0.06084894745533894,0.9683073787328066,0.8276213343233834
quanTIseq_Myeloid_dendritic_cell,0.0985428686621531,0.0985428686621531,0.03169262126719318,0.9999999999999998,1.1035617115945655
quanTIseq_T_cell_CD8+,0.0,0.0,0.0,0.9999999999999998,1.0
