,coef,abs coef,% total,cum % total,coef OR
quanTIseq_B_cell,-1.994528854238023,1.994528854238023,0.3308864343521873,0.3308864343521873,0.1360777515219938
quanTIseq_NK_cell,0.9387896039990711,0.9387896039990711,0.15574241706963254,0.48662885142181983,2.556884701562941
quanTIseq_Monocyte,-0.8468148216272743,0.8468148216272743,0.1404840728623492,0.6271129242841691,0.42877849518940186
quanTIseq_Macrophage_M2,0.6513242553575794,0.6513242553575794,0.1080527664487946,0.7351656907329637,1.9180791745572745
quanTIseq_T_cell_CD8+,0.5383529383450011,0.5383529383450011,0.08931115928129973,0.8244768500142634,1.7131828194071492
quanTIseq_T_cell_CD4+_(non-regulatory),0.43007754249378194,0.43007754249378194,0.07134859153746602,0.8958254415517294,1.5373767309520023
quanTIseq_T_cell_regulatory_(Tregs),0.22028075260079572,0.22028075260079572,0.03654392496233865,0.932369366514068,1.2464266189840247
quanTIseq_Myeloid_dendritic_cell,-0.18093302288282187,0.18093302288282187,0.030016253046953954,0.962385619561022,0.8344912486422393
quanTIseq_Macrophage_M1,-0.13556094725619391,0.13556094725619391,0.022489159973643577,0.9848747795346655,0.8732259405815019
quanTIseq_Neutrophil,0.09117233441099881,0.09117233441099881,0.015125220465334252,0.9999999999999998,1.095457774062585
quanTIseq_uncharacterized_cell,0.0,0.0,0.0,0.9999999999999998,1.0
