,coef,abs coef,% total,cum % total,coef OR
CIBERSORTx_CBSX_HNSCC_T_cells_CD8,-0.6098975497673791,0.6098975497673791,0.23682283539564442,0.23682283539564442,0.5434065383490476
CIBERSORTx_CBSX_HNSCC_B_cells,-0.5673322281184673,0.5673322281184673,0.22029474774179553,0.45711758313743994,0.567036145778148
CIBERSORTx_CBSX_HNSCC_Endothelial_cells,0.38669040257854764,0.38669040257854764,0.15015164037609804,0.607269223513538,1.4721006621458965
CIBERSORTx_CBSX_HNSCC_Myocytes,-0.38461596477231785,0.38461596477231785,0.1493461374792416,0.7566153609927796,0.6807120034034825
CIBERSORTx_CBSX_HNSCC_Macrophages,0.2589898853003336,0.2589898853003336,0.10056560974709834,0.857180970739878,1.295620699947511
CIBERSORTx_CBSX_HNSCC_Malignant_cells,0.22281798400391403,0.22281798400391403,0.08652008319934167,0.9437010539392197,1.2495931071012376
CIBERSORTx_CBSX_HNSCC_T_cells_CD4,0.044785870243642764,0.044785870243642764,0.017390325278083596,0.9610913792173033,1.0458038981972209
CIBERSORTx_CBSX_HNSCC_CAFs,-0.04267458259929058,0.04267458259929058,0.016570513612235813,0.9776618928295391,0.9582231618269228
CIBERSORTx_CBSX_HNSCC_Dendritic_cells,-0.03973876203949274,0.03973876203949274,0.015430536333348014,0.9930924291628871,0.9610404666134076
CIBERSORTx_CBSX_HNSCC_Mast_cells,0.01778929181960622,0.01778929181960622,0.006907570837112778,0.9999999999999999,1.0179484637222749
