,coef,abs coef,% total,cum % total,coef OR
CIBERSORTx_CBSX_LM22_T_cells_gamma_delta,0.0008038409525007526,0.0008038409525007526,0.09120088054999591,0.09120088054999591,1.000804164119225
CIBERSORTx_CBSX_LM22_Macrophages_M2,0.0007429174171567497,0.0007429174171567497,0.08428871707747532,0.17548959762747124,1.000743193448653
CIBERSORTx_CBSX_LM22_T_cells_CD4_naive,-0.000620468557257335,0.000620468557257335,0.07039611330999154,0.24588571093746278,0.9993797238935527
CIBERSORTx_CBSX_LM22_Plasma_cells,0.0005827780292783705,0.0005827780292783705,0.06611988263353492,0.3120055935709977,1.000582947877387
CIBERSORTx_CBSX_LM22_Dendritic_cells_activated,-0.000574730467246211,0.000574730467246211,0.06520683541775131,0.377212428988749,0.999425434658673
CIBERSORTx_CBSX_LM22_T_cells_CD4_memory_activated,-0.0005710348105695256,0.0005710348105695256,0.06478753960795756,0.4419999685967066,0.9994291281987784
CIBERSORTx_CBSX_LM22_Dendritic_cells_resting,0.0005641936650377193,0.0005641936650377193,0.06401136803504828,0.5060113366317549,1.0005643528522197
CIBERSORTx_CBSX_LM22_Neutrophils,-0.0005459676045752611,0.0005459676045752611,0.061943505284385435,0.5679548419161403,0.9994541814086173
CIBERSORTx_CBSX_LM22_Mast_cells_activated,-0.00039907090103058956,0.00039907090103058956,0.045277137800261505,0.6132319797164019,0.99960100871717
CIBERSORTx_CBSX_LM22_T_cells_follicular_helper,-0.0003937109169220212,0.0003937109169220212,0.044669013433227635,0.6579009931496295,0.9996063665770506
CIBERSORTx_CBSX_LM22_B_cells_memory,-0.00036865423555405526,0.00036865423555405526,0.041826173195603604,0.699727166345233,0.999631413709069
CIBERSORTx_CBSX_LM22_T_cells_CD8,-0.0003621684055133282,0.0003621684055133282,0.04109031443029472,0.7408174807755278,0.999637897169547
CIBERSORTx_CBSX_LM22_Mast_cells_resting,0.0003620866184196229,0.0003620866184196229,0.04108103516312085,0.7818985159386487,1.000362152179692
CIBERSORTx_CBSX_LM22_B_cells_naive,-0.0003542485666894592,0.0003542485666894592,0.04019175822672754,0.8220902741653762,0.9996458141719254
CIBERSORTx_CBSX_LM22_NK_cells_activated,0.0002725913583163075,0.0002725913583163075,0.030927227371814473,0.8530175015371907,1.0002726285147168
CIBERSORTx_CBSX_LM22_Eosinophils,-0.00025087253296241023,0.00025087253296241023,0.028463088177829887,0.8814805897150206,0.9997491589329202
CIBERSORTx_CBSX_LM22_Monocytes,0.00024999871776074925,0.00024999871776074925,0.028363948272626588,0.9098445379876472,1.0002500299700445
CIBERSORTx_CBSX_LM22_T_cells_CD4_memory_resting,0.00020066338773502067,0.00020066338773502067,0.022766540568312236,0.9326110785559595,1.0002006835219792
CIBERSORTx_CBSX_LM22_T_cells_regulatory_(Tregs),-0.00019755926985252602,0.00019755926985252602,0.02241435860578124,0.9550254371617407,0.999802460243695
CIBERSORTx_CBSX_LM22_Macrophages_M1,-0.00019466496579826316,0.00019466496579826316,0.022085981359627003,0.9771114185213677,0.9998053539801968
CIBERSORTx_CBSX_LM22_NK_cells_resting,-0.0001377046551142475,0.0001377046551142475,0.01562347099035255,0.9927348895117203,0.9998623048257366
CIBERSORTx_CBSX_LM22_Macrophages_M0,-6.403439637537988e-05,6.403439637537988e-05,0.007265110488279886,1.0000000000000002,0.9999359676537828
