,coef,abs coef,% total,cum % total,coef OR
CIBERSORTx_CBSX_LM22_Plasma_cells,0.4501235382367182,0.4501235382367182,0.5052867306418908,0.5052867306418908,1.5685059439802327
CIBERSORTx_CBSX_LM22_B_cells_naive,-0.17260600497078651,0.17260600497078651,0.19375908285644985,0.6990458134983406,0.8414690841781034
CIBERSORTx_CBSX_LM22_Macrophages_M0,0.12358449978788853,0.12358449978788853,0.13872993201034453,0.8377757455086852,1.1315456158669805
CIBERSORTx_CBSX_LM22_NK_cells_activated,0.09405437582229416,0.09405437582229416,0.10558085508698237,0.9433566005956675,1.098619482630799
CIBERSORTx_CBSX_LM22_T_cells_regulatory_(Tregs),-0.04606895798580469,0.04606895798580469,0.05171476536400114,0.9950713659596686,0.9549761066913004
CIBERSORTx_CBSX_LM22_T_cells_CD4_memory_activated,-0.004390564917645122,0.004390564917645122,0.004928634040331364,1.0,0.9956190595217754
CIBERSORTx_CBSX_LM22_T_cells_CD4_naive,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_Macrophages_M1,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_Eosinophils,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_Mast_cells_activated,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_Mast_cells_resting,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_Dendritic_cells_activated,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_Dendritic_cells_resting,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_Macrophages_M2,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_T_cells_CD8,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_T_cells_CD4_memory_resting,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_Monocytes,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_B_cells_memory,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_NK_cells_resting,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_T_cells_gamma_delta,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_T_cells_follicular_helper,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_Neutrophils,0.0,0.0,0.0,1.0,1.0
