,coef,abs coef,% total,cum % total,coef OR
CIBERSORTx_CBSX_LM22_T_cells_CD8,-0.0009771017530771683,0.0009771017530771683,0.0966728144915452,0.0966728144915452,0.999023375455401
CIBERSORTx_CBSX_LM22_Macrophages_M2,0.0008610409994764647,0.0008610409994764647,0.08518995749404717,0.18186277198559236,1.0008614118016956
CIBERSORTx_CBSX_LM22_Mast_cells_resting,0.000681951005204951,0.000681951005204951,0.06747109276068854,0.2493338647462809,1.0006821835866584
CIBERSORTx_CBSX_LM22_Monocytes,0.0006160880904587101,0.0006160880904587101,0.06095472604751476,0.31028859079379567,1.0006162779117065
CIBERSORTx_CBSX_LM22_Dendritic_cells_resting,0.0006139037877147462,0.0006139037877147462,0.060738614784490635,0.3710272055782863,1.000614092265212
CIBERSORTx_CBSX_LM22_T_cells_CD4_memory_activated,-0.0006113502078558229,0.0006113502078558229,0.06048596786085796,0.43151317343914425,0.9993888366286063
CIBERSORTx_CBSX_LM22_NK_cells_activated,0.0005961171425678453,0.0005961171425678453,0.05897883383916109,0.49049200727830533,1.0005962948557026
CIBERSORTx_CBSX_LM22_Mast_cells_activated,-0.0005417281333304906,0.0005417281333304906,0.053597676161546655,0.544089683439852,0.9994584185748615
CIBERSORTx_CBSX_LM22_Neutrophils,-0.0005028803900213469,0.0005028803900213469,0.049754145361900835,0.5938438288017528,0.9994972460331292
CIBERSORTx_CBSX_LM22_B_cells_memory,-0.000492449492350545,0.000492449492350545,0.04872212977873969,0.6425659585804925,0.9995076717409994
CIBERSORTx_CBSX_LM22_T_cells_CD4_naive,-0.000467815435952679,0.000467815435952679,0.04628487740781176,0.6888508359883042,0.9995322939726267
CIBERSORTx_CBSX_LM22_T_cells_follicular_helper,-0.00045958397074619714,0.00045958397074619714,0.04547046999692158,0.7343213059852258,0.9995405216217901
CIBERSORTx_CBSX_LM22_Dendritic_cells_activated,-0.0004422660234356942,0.0004422660234356942,0.04375706123222521,0.778078367217451,0.9995578317617658
CIBERSORTx_CBSX_LM22_T_cells_gamma_delta,0.0004136328168062446,0.0004136328168062446,0.04092413962086847,0.8190025068383195,1.000413718374656
CIBERSORTx_CBSX_LM22_Eosinophils,-0.0003805233410329637,0.0003805233410329637,0.0376483434212787,0.8566508502595982,0.9996195490487912
CIBERSORTx_CBSX_LM22_Macrophages_M1,-0.0003622566079992152,0.0003622566079992152,0.03584106338275984,0.892491913642358,0.9996378089990033
CIBERSORTx_CBSX_LM22_T_cells_regulatory_(Tregs),0.0003112093535440742,0.0003112093535440742,0.03079053333846996,0.923282446980828,1.0003112577841988
CIBERSORTx_CBSX_LM22_Plasma_cells,0.00030354361810229106,0.00030354361810229106,0.03003209828503675,0.9533145452658647,1.000303589692128
CIBERSORTx_CBSX_LM22_B_cells_naive,-0.00023854482112221394,0.00023854482112221394,0.023601225939511087,0.9769157712053758,0.9997614836284314
CIBERSORTx_CBSX_LM22_T_cells_CD4_memory_resting,0.0001386834625698406,0.0001386834625698406,0.013721110015243744,0.9906368812206195,1.0001386930795657
CIBERSORTx_CBSX_LM22_Macrophages_M0,-7.149558424062809e-05,7.149558424062809e-05,0.007073653619484419,0.997710534840104,0.9999285069715077
CIBERSORTx_CBSX_LM22_NK_cells_resting,2.3140325779375697e-05,2.3140325779375697e-05,0.0022894651598960275,1.0,1.0000231405935187
