,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_BPRNACanProMet_M2,0.23794979408710093,0.23794979408710093,0.5158936584545568,0.5158936584545568,1.2686454977206305
DeconRNASeq_BPRNACanProMet_M0,0.1376676612841574,0.1376676612841574,0.298474195799343,0.8143678542538998,1.1475940969433478
DeconRNASeq_BPRNACanProMet_B,-0.056135727608427256,0.056135727608427256,0.12170662301695141,0.9360744772708512,0.9454108088337667
DeconRNASeq_BPRNACanProMet_CD4,0.029484884570743594,0.029484884570743594,0.06392552272914873,1.0,1.0299238676128741
DeconRNASeq_BPRNACanProMet_cancer,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACanProMet_CD8,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACanProMet_M1,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACanProMet_Mono,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACanProMet_Neu,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACanProMet_NK,0.0,0.0,0.0,1.0,1.0
