,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_BPRNACan_CD4,0.5256510028591136,0.5256510028591136,0.3406286946668032,0.3406286946668032,1.6915597002125666
DeconRNASeq_BPRNACan_M2,0.4487649082902665,0.4487649082902665,0.2908055042066602,0.6314341988734633,1.5663763718113914
DeconRNASeq_BPRNACan_M0,0.1830571187312509,0.1830571187312509,0.11862339663338267,0.750057595506846,1.2008829990351837
DeconRNASeq_BPRNACan_Neu,-0.15184759726337943,0.15184759726337943,0.0983992203244754,0.8484568158313215,0.8591192028820263
DeconRNASeq_BPRNACan_M1,-0.11304647951765905,0.11304647951765905,0.07325559077283529,0.9217124066041568,0.8931091478688785
DeconRNASeq_BPRNACan_CD8,-0.06905659846068743,0.06905659846068743,0.04474957502953368,0.9664619816336905,0.9332738567196656
DeconRNASeq_BPRNACan_Mono,0.04987792546966094,0.04987792546966094,0.0323215451944498,0.9987835268281402,1.0511427707834775
DeconRNASeq_BPRNACan_B,-0.0018772356902132454,0.0018772356902132454,0.0012164731718597283,0.9999999999999999,0.9981245252146549
DeconRNASeq_BPRNACan_cancer,0.0,0.0,0.0,0.9999999999999999,1.0
DeconRNASeq_BPRNACan_NK,0.0,0.0,0.0,0.9999999999999999,1.0
