,coef,abs coef,% total,cum % total,coef OR
EpiDISH_BPRNACan3DProMet_M2,0.33252306264671977,0.33252306264671977,0.5245815300615874,0.5245815300615874,1.3944820592611593
EpiDISH_BPRNACan3DProMet_B,-0.17789575289503656,0.17789575289503656,0.2806446731915331,0.8052262032531204,0.8370296768613146
EpiDISH_BPRNACan3DProMet_M0,-0.08042038359911181,0.08042038359911181,0.12686953963666084,0.9320957428897813,0.9227283649707686
EpiDISH_BPRNACan3DProMet_Neu,-0.026598934333814564,0.026598934333814564,0.04196193057942707,0.9740576734692084,0.9737517015939379
EpiDISH_BPRNACan3DProMet_cancer,0.016444387337059493,0.016444387337059493,0.025942326530791558,0.9999999999999999,1.016580340474176
EpiDISH_BPRNACan3DProMet_CD4,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_BPRNACan3DProMet_CD8,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_BPRNACan3DProMet_M1,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_BPRNACan3DProMet_Mono,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_BPRNACan3DProMet_NK,0.0,0.0,0.0,0.9999999999999999,1.0
