,coef,abs coef,% total,cum % total,coef OR
EpiDISH_BPRNACan3DProMet_B,-1.060629228233844,1.060629228233844,0.22007889506120357,0.22007889506120357,0.34623787912384285
EpiDISH_BPRNACan3DProMet_M2,0.9449404433109464,0.9449404433109464,0.1960736543238711,0.4161525493850747,2.5726601549047374
EpiDISH_BPRNACan3DProMet_CD8,0.6400178135382096,0.6400178135382096,0.13280268869973236,0.5489552380848071,1.896514662640458
EpiDISH_BPRNACan3DProMet_M0,-0.6370379780549786,0.6370379780549786,0.13218437752825382,0.6811396156130609,0.5288565911795885
EpiDISH_BPRNACan3DProMet_M1,0.569412341750178,0.569412341750178,0.11815216446115363,0.7992917800742145,1.767228219981904
EpiDISH_BPRNACan3DProMet_NK,0.45002154945340156,0.45002154945340156,0.09337876302198163,0.8926705430961962,1.5683459821246772
EpiDISH_BPRNACan3DProMet_cancer,0.241044008605289,0.241044008605289,0.05001625229894121,0.9426867953951374,1.2725770384164943
EpiDISH_BPRNACan3DProMet_Neu,0.11882646701994737,0.11882646701994737,0.024656304832673188,0.9673431002278107,1.12617447291839
EpiDISH_BPRNACan3DProMet_Mono,-0.0820555532457615,0.0820555532457615,0.017026398114668422,0.9843694983424791,0.9212207804703855
EpiDISH_BPRNACan3DProMet_CD4,0.07532829036293513,0.07532829036293513,0.015630501657520956,1.0,1.0782380679543304
