,coef,abs coef,% total,cum % total,coef OR
EpiDISH_CBSX_HNSCC_Macrophages,0.01025909085698246,0.01025909085698246,0.22082503097858536,0.22082503097858536,1.0103118957518415
EpiDISH_CBSX_HNSCC_T.cells.CD4,-0.007398648749849282,0.007398648749849282,0.1592545443023493,0.38007957528093467,0.992628653876138
EpiDISH_CBSX_HNSCC_B.cells,-0.005499171766095599,0.005499171766095599,0.11836865396100069,0.4984482292419353,0.9945159210003822
EpiDISH_CBSX_HNSCC_CAFs,0.005462032551746565,0.005462032551746565,0.11756923924935847,0.6160174684912938,1.005476976647535
EpiDISH_CBSX_HNSCC_Malignant.cells,-0.004934597972134121,0.004934597972134121,0.10621630759042658,0.7222337760817203,0.9950775571546655
EpiDISH_CBSX_HNSCC_Endothelial.cells,-0.0031778624705624163,0.0031778624705624163,0.06840290122101891,0.7906366773027392,0.9968271815898537
EpiDISH_CBSX_HNSCC_Dendritic.cells,0.003153252054891409,0.003153252054891409,0.06787316658091216,0.8585098438836514,1.0031582287837375
EpiDISH_CBSX_HNSCC_Mast.cells,-0.002603911152699976,0.002603911152699976,0.05604870538495117,0.9145585492686026,0.9973994760832873
EpiDISH_CBSX_HNSCC_T.cells.CD8,-0.002324066298109928,0.002324066298109928,0.05002509670992073,0.9645836459785233,0.997678632253027
EpiDISH_CBSX_HNSCC_Myocytes,0.0016453732265733017,0.0016453732265733017,0.035416354021476575,0.9999999999999999,1.0016467275958132
