,coef,abs coef,% total,cum % total,coef OR
EpiDISH_CBSX_LM22_Neutrophils,-3.960017675899954,3.960017675899954,0.17194375231155418,0.17194375231155418,0.019062777336888603
EpiDISH_CBSX_LM22_T.cells.CD4.memory.activated,-1.7374180812427706,1.7374180812427706,0.0754385986812373,0.2473823509927915,0.1759741655716723
EpiDISH_CBSX_LM22_Monocytes,1.6779898677734366,1.6779898677734366,0.07285822888155777,0.3202405798743493,5.354781327008705
EpiDISH_CBSX_LM22_T.cells.follicular.helper,-1.3502484285927805,1.3502484285927805,0.05862771340086507,0.3788682932752144,0.25917586595182
EpiDISH_CBSX_LM22_T.cells.gamma.delta,1.3498634247720305,1.3498634247720305,0.05861099655588811,0.4374792898311025,3.856898737899986
EpiDISH_CBSX_LM22_T.cells.CD4.naive,-1.3071075679678323,1.3071075679678323,0.05675453957668066,0.49423382940778315,0.2706016223269863
EpiDISH_CBSX_LM22_B.cells.memory,-1.3014176962706454,1.3014176962706454,0.05650748565676014,0.5507413150645433,0.2721456994737625
EpiDISH_CBSX_LM22_Eosinophils,1.2912049645822756,1.2912049645822756,0.056064049401781724,0.6068053644663249,3.6371665732404694
EpiDISH_CBSX_LM22_Mast.cells.resting,1.2181178350886592,1.2181178350886592,0.05289061021051425,0.6596959746768392,3.3808184835907276
EpiDISH_CBSX_LM22_B.cells.naive,1.209560624833146,1.209560624833146,0.05251905660619417,0.7122150312830333,3.352011538318872
EpiDISH_CBSX_LM22_Macrophages.M1,-1.0934755668615437,1.0934755668615437,0.04747864969679686,0.7596936809798301,0.3350499791268593
EpiDISH_CBSX_LM22_Mast.cells.activated,0.9166037472560398,0.9166037472560398,0.03979888490023412,0.7994925658800642,2.500782660940778
EpiDISH_CBSX_LM22_T.cells.CD8,0.7845134550000786,0.7845134550000786,0.03406353158788856,0.8335560974679528,2.1913404955562314
EpiDISH_CBSX_LM22_Macrophages.M0,0.7112142503180043,0.7112142503180043,0.0308808841034618,0.8644369815714146,2.036462533248728
EpiDISH_CBSX_LM22_Dendritic.cells.resting,0.6222505657650081,0.6222505657650081,0.027018085754202593,0.8914550673256172,1.86311639296891
EpiDISH_CBSX_LM22_NK.cells.resting,0.542443248542264,0.542443248542264,0.02355285637689215,0.9150079237025094,1.7202046194433616
EpiDISH_CBSX_LM22_Dendritic.cells.activated,-0.5318706890256356,0.5318706890256356,0.023093796417162755,0.9381017201196722,0.5875049020841364
EpiDISH_CBSX_LM22_Plasma.cells,-0.4206665767282383,0.4206665767282383,0.018265319903722817,0.956367040023395,0.6566089936341881
EpiDISH_CBSX_LM22_T.cells.CD4.memory.resting,-0.38345078275461997,0.38345078275461997,0.016649412151587994,0.973016452174983,0.6815056190526334
EpiDISH_CBSX_LM22_Macrophages.M2,-0.21453449279230427,0.21453449279230427,0.009315076019851787,0.9823315281948348,0.8069169784321354
EpiDISH_CBSX_LM22_T.cells.regulatory..Tregs.,0.21443376841478617,0.21443376841478617,0.009310702572853026,0.9916422307676879,1.2391600467223367
EpiDISH_CBSX_LM22_NK.cells.activated,-0.19248686530395298,0.19248686530395298,0.008357769232312523,1.0000000000000004,0.8249051530108997
