,coef,abs coef,% total,cum % total,coef OR
MCP_CD8_T_cells,-1.8163812728782334,1.8163812728782334,0.2163485321260916,0.2163485321260916,0.16261314007271632
MCP_Myeloid_dendritic_cells,1.4201475104765986,1.4201475104765986,0.16915326857960433,0.38550180070569595,4.137730753872
MCP_Cytotoxic_lymphocytes,1.2296874281555115,1.2296874281555115,0.1464676354176376,0.5319694361233336,3.4201603233747284
MCP_NK_cells,-1.1457997224101135,1.1457997224101135,0.13647580040345939,0.668445236526793,0.3179695287258039
MCP_B_lineage,1.0180015854098208,1.0180015854098208,0.1212538094254033,0.7896990459521963,2.767658304999331
MCP_T_cells,-0.8388246699145032,0.8388246699145032,0.09991211028045102,0.8896111562326473,0.4322182240949801
MCP_Fibroblasts,0.4344166090136546,0.4344166090136546,0.05174320892571711,0.9413543651583645,1.5440620042876498
MCP_Monocytic_lineage,0.24011066848892398,0.24011066848892398,0.028599496950922242,0.9699538621092867,1.271389845329025
MCP_Endothelial_cells,-0.23763184610884905,0.23763184610884905,0.028304245292397535,0.9982581074016842,0.7884929244034953
MCP_Neutrophils,-0.014624278075074553,0.014624278075074553,0.0017418925983158759,1.0,0.9854821372986178
