,coef,abs coef,% total,cum % total,coef OR
quanTIseq_Macrophage_M2,0.6542647511345469,0.6542647511345469,0.2155021956538548,0.2155021956538548,1.9237275787543762
quanTIseq_T_cell_CD4+_(non-regulatory),0.4849166983754127,0.4849166983754127,0.15972221188426725,0.37522440753812203,1.6240397180624278
quanTIseq_Macrophage_M1,-0.41162338016817596,0.41162338016817596,0.1355808058662499,0.5108052134043719,0.6625737674883443
quanTIseq_T_cell_regulatory_(Tregs),-0.3222477583659623,0.3222477583659623,0.10614219908985535,0.6169474124942272,0.7245186625311263
quanTIseq_T_cell_CD8+,-0.301591047641134,0.301591047641134,0.09933827681149988,0.7162856893057271,0.7396404807677965
quanTIseq_Monocyte,-0.25397783940665086,0.25397783940665086,0.08365540393952817,0.7999410932452553,0.7757089920275348
quanTIseq_Neutrophil,-0.20719088448616302,0.20719088448616302,0.06824468298010178,0.8681857762253571,0.8128644719604529
quanTIseq_NK_cell,0.17847306679014185,0.17847306679014185,0.05878558747304916,0.9269713636984063,1.1953906871316688
quanTIseq_B_cell,-0.09889555221493242,0.09889555221493242,0.03257428832251978,0.959545652020926,0.9058373157839422
quanTIseq_uncharacterized_cell,0.09601363625650326,0.09601363625650326,0.031625040765388815,0.9911706927863149,1.100774074329266
quanTIseq_Myeloid_dendritic_cell,0.026805780188572624,0.026805780188572624,0.008829307213684887,0.9999999999999998,1.0271682869581584
