,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_BPRNACan3DProMet_Neu,-0.36673158006456164,0.36673158006456164,0.6133439426235434,0.6133439426235434,0.6929956339250306
DeconRNASeq_BPRNACan3DProMet_M2,0.20116224311703468,0.20116224311703468,0.3364358293841969,0.9497797720077403,1.2228231503696132
DeconRNASeq_BPRNACan3DProMet_CD8,-0.019599189271177136,0.019599189271177136,0.032778862452185274,0.9825586344599256,0.9805916261960009
DeconRNASeq_BPRNACan3DProMet_cancer,0.010428568864045919,0.010428568864045919,0.01744136554007432,1.0,1.0104831359087563
DeconRNASeq_BPRNACan3DProMet_B,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACan3DProMet_CD4,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACan3DProMet_M0,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACan3DProMet_M1,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACan3DProMet_Mono,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACan3DProMet_NK,0.0,0.0,0.0,1.0,1.0
SEX,0.0,0.0,0.0,1.0,1.0
