,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_BPRNACanProMet_M2,0.29518922002228953,0.29518922002228953,0.5077183651547119,0.5077183651547119,1.3433805291321155
DeconRNASeq_BPRNACanProMet_Neu,-0.28621425143247947,0.28621425143247947,0.4922816348452881,1.0,0.7511016740968778
DeconRNASeq_BPRNACanProMet_B,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACanProMet_cancer,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACanProMet_CD4,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACanProMet_CD8,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACanProMet_M0,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACanProMet_M1,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACanProMet_Mono,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACanProMet_NK,0.0,0.0,0.0,1.0,1.0
SEX,0.0,0.0,0.0,1.0,1.0
