,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_BPRNACanProMet_M2,0.05128191554624548,0.05128191554624548,0.4733129265252808,0.4733129265252808,1.052619601287825
TMB,-0.050877362944268506,0.050877362944268506,0.46957905711078,0.9428919836360607,0.9503952170570207
DeconRNASeq_BPRNACanProMet_CD8,0.0061874677577239455,0.0061874677577239455,0.05710801636393926,1.0,1.006206649678448
DeconRNASeq_BPRNACanProMet_B,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACanProMet_cancer,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACanProMet_CD4,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACanProMet_M0,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACanProMet_M1,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACanProMet_Mono,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACanProMet_Neu,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACanProMet_NK,0.0,0.0,0.0,1.0,1.0
