,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_BPRNACan_M1,-0.10728357835967489,0.10728357835967489,0.8088833556809574,0.8088833556809574,0.8982709066786468
DeconRNASeq_BPRNACan_cancer,0.017410553832807783,0.017410553832807783,0.1312699242873035,0.9401532799682608,1.0175630009697614
DeconRNASeq_BPRNACan_Neu,-0.00793757249794003,0.00793757249794003,0.05984672003173913,1.0,0.9920938468445778
DeconRNASeq_BPRNACan_B,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACan_CD4,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACan_CD8,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACan_M0,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACan_M2,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACan_Mono,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACan_NK,0.0,0.0,0.0,1.0,1.0
AAGE,0.0,0.0,0.0,1.0,1.0
