,coef,abs coef,% total,cum % total,coef OR
MCP_Endothelial_cells,1.0991622427293593,1.0991622427293593,0.34878092071033673,0.34878092071033673,3.001650315941131
MCP_NK_cells,-1.0500749532335982,1.0500749532335982,0.3332047761158923,0.681985696826229,0.34991152112824975
MCP_Neutrophils,-0.2966501278428222,0.2966501278428222,0.09413160377574438,0.7761173006019734,0.7433040282569316
MCP_Myeloid_dendritic_cells,0.2741253226067203,0.2741253226067203,0.08698414000409896,0.8631014406060723,1.315379638714791
MCP_B_lineage,0.17734271738780036,0.17734271738780036,0.056273545294095374,0.9193749859001676,1.1940402413644755
MCP_CD8_T_cells,0.1766627985019104,0.1766627985019104,0.05605779667591123,0.9754327825760789,1.1932286667875656
MCP_Fibroblasts,-0.0774221185789097,0.0774221185789097,0.024567217423921175,1.0,0.9254991007750812
MCP_T_cells,0.0,0.0,0.0,1.0,1.0
MCP_Cytotoxic_lymphocytes,0.0,0.0,0.0,1.0,1.0
MCP_Monocytic_lineage,0.0,0.0,0.0,1.0,1.0
AAGE,0.0,0.0,0.0,1.0,1.0
