,coef,abs coef,% total,cum % total,coef OR
quanTIseq_Myeloid_dendritic_cell,-1.1898854827059604,1.1898854827059604,0.21184333534402527,0.21184333534402527,0.30425610465754127
quanTIseq_Monocyte,-0.9260383079752769,0.9260383079752769,0.1648688438249467,0.376712179168972,0.3961199110131407
quanTIseq_T_cell_CD4+_(non-regulatory),0.8322793343081255,0.8322793343081255,0.14817630156876874,0.5248884807377407,2.2985519421909815
quanTIseq_NK_cell,0.6920378841198817,0.6920378841198817,0.12320817060729353,0.6480966513450342,1.99778263720358
quanTIseq_Macrophage_M2,0.6481354517971352,0.6481354517971352,0.11539192456669516,0.7634885759117294,1.911972538462287
quanTIseq_Macrophage_M1,-0.4972177205654988,0.4972177205654988,0.08852302330574621,0.8520115992174756,0.6082205472731201
quanTIseq_uncharacterized_cell,0.3469336283756805,0.3469336283756805,0.06176693307575267,0.9137785322932283,1.4147228248024524
AAGE,-0.24222706204725214,0.24222706204725214,0.04312531708343785,0.9569038493766661,0.7848779413250537
quanTIseq_Neutrophil,-0.2035061489993567,0.2035061489993567,0.03623157185597449,0.9931354212326405,0.8158651875527362
quanTIseq_T_cell_CD8+,0.03348151170635275,0.03348151170635275,0.005960939279722724,0.9990963605123633,1.0340483257604576
quanTIseq_B_cell,-0.005075578640188878,0.005075578640188878,0.0009036394876364838,0.9999999999999998,0.9949372803442831
quanTIseq_T_cell_regulatory_(Tregs),0.0,0.0,0.0,0.9999999999999998,1.0
