,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_BPRNACan3DProMet_Neu,-0.36651974849327745,0.36651974849327745,0.45018842530630515,0.45018842530630515,0.6931424478284189
DeconRNASeq_BPRNACan3DProMet_M2,0.25628066313937575,0.25628066313937575,0.31478409730843565,0.7649725226147408,1.2921153261972271
DeconRNASeq_BPRNACan3DProMet_CD8,-0.07941032195475257,0.07941032195475257,0.09753801245591676,0.8625105350706576,0.923660848353959
DeconRNASeq_BPRNACan3DProMet_cancer,0.07740113160104087,0.07740113160104087,0.0950701666025993,0.9575807016732568,1.0804754023044432
DeconRNASeq_BPRNACan3DProMet_B,-0.0223694304496429,0.0223694304496429,0.027475896484492862,0.9850565981577497,0.9778789100676513
DeconRNASeq_BPRNACan3DProMet_M1,-0.012166132172609704,0.012166132172609704,0.014943401842250247,1.0,0.9879075759961632
DeconRNASeq_BPRNACan3DProMet_CD4,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACan3DProMet_M0,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACan3DProMet_Mono,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACan3DProMet_NK,0.0,0.0,0.0,1.0,1.0
SEX,0.0,0.0,0.0,1.0,1.0
