,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_CBSX_LM22_Mast.cells.resting,3.707161146084055,3.707161146084055,0.19391815619783626,0.19391815619783626,40.737993004964416
DeconRNASeq_CBSX_LM22_B.cells.memory,2.2737419625826276,2.2737419625826276,0.11893733012373223,0.31285548632156845,9.715688621206935
DeconRNASeq_CBSX_LM22_T.cells.gamma.delta,1.4072516328981908,1.4072516328981908,0.07361202580747593,0.3864675121290444,4.084713670270045
DeconRNASeq_CBSX_LM22_T.cells.follicular.helper,-1.2938555603856565,1.2938555603856565,0.06768038258097772,0.45414789471002215,0.2742115033338879
DeconRNASeq_CBSX_LM22_Dendritic.cells.activated,-1.1807446716215177,1.1807446716215177,0.06176365705146846,0.5159115517614906,0.30705000202198907
DeconRNASeq_CBSX_LM22_Macrophages.M2,1.1578006963458154,1.1578006963458154,0.060563479016042955,0.5764750307775336,3.18292535330528
DeconRNASeq_CBSX_LM22_T.cells.regulatory..Tregs.,-1.0548020468106631,1.0548020468106631,0.05517571532796534,0.631650746105499,0.34826135993017704
DeconRNASeq_CBSX_LM22_NK.cells.activated,-0.9134086521851851,0.9134086521851851,0.04777955818672839,0.6794303042922274,0.40115449474938253
DeconRNASeq_CBSX_LM22_Monocytes,-0.8895338579312836,0.8895338579312836,0.04653068987513374,0.7259609941673612,0.4108472212967685
DeconRNASeq_CBSX_LM22_T.cells.CD4.memory.activated,0.8447925608756447,0.8447925608756447,0.04419031418359037,0.7701513083509515,2.327494950974994
DeconRNASeq_CBSX_LM22_Eosinophils,-0.7679437585213107,0.7679437585213107,0.04017042471255779,0.8103217330635093,0.46396611449821507
DeconRNASeq_CBSX_LM22_Macrophages.M0,-0.6699171767538381,0.6699171767538381,0.03504274527115977,0.8453644783346691,0.5117509609071732
DeconRNASeq_CBSX_LM22_Mast.cells.activated,0.5461433100479737,0.5461433100479737,0.028568249269702767,0.8739327276043719,1.7265812720662224
DeconRNASeq_CBSX_LM22_Macrophages.M1,-0.5268626804281318,0.5268626804281318,0.02755969744287901,0.9014924250472509,0.5904545113544242
DeconRNASeq_CBSX_LM22_T.cells.CD4.naive,-0.42973635843992397,0.42973635843992397,0.022479109754338433,0.9239715348015893,0.6506806185653062
DeconRNASeq_CBSX_LM22_Plasma.cells,-0.37806391690980984,0.37806391690980984,0.01977617233324877,0.9437477071348381,0.685186704249441
DeconRNASeq_CBSX_LM22_Dendritic.cells.resting,0.26912444252658374,0.26912444252658374,0.014077649615434973,0.9578253567502731,1.3088180035319448
DeconRNASeq_CBSX_LM22_Neutrophils,0.2262455408967935,0.2262455408967935,0.011834694098753264,0.9696600508490264,1.2538835071635774
DeconRNASeq_CBSX_LM22_B.cells.naive,-0.2061280092396317,0.2061280092396317,0.010782364703704096,0.9804424155527305,0.8137289047972373
DeconRNASeq_CBSX_LM22_T.cells.CD4.memory.resting,0.19396954906298042,0.19396954906298042,0.010146366945108797,0.9905887824978393,1.2140593131496706
SEX,0.1673213586863322,0.1673213586863322,0.008752424858370229,0.9993412073562096,1.1821340933338773
DeconRNASeq_CBSX_LM22_NK.cells.resting,0.012594233259392334,0.012594233259392334,0.0006587926437906867,1.0000000000000002,1.0126738746044561
DeconRNASeq_CBSX_LM22_T.cells.CD8,0.0,0.0,0.0,1.0000000000000002,1.0
