,coef,abs coef,% total,cum % total,coef OR
XCELL_Mesangial_cells,1.0582560585968,1.0582560585968,0.10839679295526011,0.10839679295526011,2.88134171405006
XCELL_CLP,1.0390220386410676,1.0390220386410676,0.10642665910920082,0.21482345206446093,2.826451501938042
XCELL_CD4+_Tem,-0.9149834725736867,0.9149834725736867,0.09372143275566479,0.3085448848201257,0.4005232456545458
XCELL_HSC,0.6912467024502135,0.6912467024502135,0.07080415470132481,0.3793490395214505,1.9962026533106088
XCELL_Chondrocytes,-0.4718012059197034,0.4718012059197034,0.048326430279956804,0.4276754698014073,0.6238775237495856
XCELL_Skeletal_muscle,-0.46532076733595124,0.46532076733595124,0.04766264125298568,0.475338111054393,0.6279336522768161
XCELL_Erythrocytes,-0.44695067431755675,0.44695067431755675,0.04578099913687619,0.5211191101912692,0.6395754549925543
XCELL_Osteoblast,-0.41419419580486916,0.41419419580486916,0.04242576465422055,0.5635448748454898,0.6608726001171927
XCELL_CD8+_naive_T-cells,0.357584715360727,0.357584715360727,0.036627275639052555,0.6001721504845423,1.4298716934136342
XCELL_Megakaryocytes,0.27602491360311193,0.27602491360311193,0.028273134056045895,0.6284452845405882,1.317880696774939
XCELL_iDC,0.24984862166378222,0.24984862166378222,0.025591905751578384,0.6540371902921667,1.283831057767738
XCELL_CD8+_Tcm,0.2461202664547845,0.2461202664547845,0.025210011649134723,0.6792472019413014,1.2790533915088589
XCELL_Platelets,-0.23382614336853502,0.23382614336853502,0.023950728979386823,0.7031979309206882,0.7914994113557605
XCELL_pDC,-0.23061089319040493,0.23061089319040493,0.023621392043371305,0.7268193229640595,0.7940483755620241
XCELL_DC,0.23013100417284837,0.23013100417284837,0.023572237181412322,0.7503915601454718,1.2587649025833028
XCELL_CD8+_T-cells,0.22148994342874354,0.22148994342874354,0.022687136392445868,0.7730786965379177,1.247934698213444
XCELL_Pericytes,-0.20878252951750528,0.20878252951750528,0.02138552048999622,0.7944642170279139,0.8115717093450158
XCELL_Neurons,0.20449485046751825,0.20449485046751825,0.02094633504478713,0.8154105520727011,1.2269051378416322
XCELL_Class-switched_memory_B-cells,-0.19943411747889958,0.19943411747889958,0.020427965958673387,0.8358385180313744,0.8191941896135867
XCELL_Melanocytes,0.18846701973406396,0.18846701973406396,0.01930461002424733,0.8551431280556218,1.2073972620471733
XCELL_aDC,-0.1870091520932814,0.1870091520932814,0.01915528115858166,0.8742984092142034,0.8294361452736941
XCELL_CD4+_Tcm,-0.1725871992642135,0.1725871992642135,0.01767804564254232,0.8919764548567457,0.8414849087475864
