,coef,abs coef,% total,cum % total,coef OR
CIBERSORTx_CBSX_HNSCC_Macrophages,0.27758090082271014,0.27758090082271014,0.5647402800627642,0.5647402800627642,1.3199328984818417
TMB,-0.15794148799309446,0.15794148799309446,0.32133305965354936,0.8860733397163136,0.8538997438944926
CIBERSORTx_CBSX_HNSCC_Myocytes,0.05599718331717707,0.05599718331717707,0.11392666028368634,1.0,1.0575947048235772
CIBERSORTx_CBSX_HNSCC_B_cells,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_HNSCC_T_cells_CD8,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_HNSCC_T_cells_CD4,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_HNSCC_Dendritic_cells,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_HNSCC_Mast_cells,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_HNSCC_CAFs,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_HNSCC_Endothelial_cells,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_HNSCC_Malignant_cells,0.0,0.0,0.0,1.0,1.0
