,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_BPRNACan_M1,-0.06980523331049485,0.06980523331049485,0.7739281276258987,0.7739281276258987,0.9325754368494577
DeconRNASeq_BPRNACan_cancer,0.016440951184717483,0.016440951184717483,0.1822802383623607,0.9562083659882594,1.0165768473552597
DeconRNASeq_BPRNACan_Neu,-0.0039498308952985745,0.0039498308952985745,0.043791634011740584,1.0,0.996057959426559
DeconRNASeq_BPRNACan_B,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACan_CD4,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACan_CD8,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACan_M0,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACan_M2,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACan_Mono,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACan_NK,0.0,0.0,0.0,1.0,1.0
AAGE,0.0,0.0,0.0,1.0,1.0
