,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_CBSX_LM22_Mast.cells.resting,4.648193295852748,4.648193295852748,0.20629499280880306,0.20629499280880306,104.396202039284
DeconRNASeq_CBSX_LM22_B.cells.memory,2.591861790564842,2.591861790564842,0.11503138432798173,0.3213263771367848,13.354611962796396
DeconRNASeq_CBSX_LM22_T.cells.gamma.delta,2.096509692980194,2.096509692980194,0.09304678710819181,0.4143731642449766,8.137717155710243
DeconRNASeq_CBSX_LM22_T.cells.follicular.helper,-1.8103186541459984,1.8103186541459984,0.0803451255075606,0.4947182897525372,0.16360199604137818
DeconRNASeq_CBSX_LM22_Macrophages.M2,1.7638388676397374,1.7638388676397374,0.07828227084279892,0.5730005605953361,5.834793455749266
DeconRNASeq_CBSX_LM22_T.cells.CD4.memory.activated,1.2833545295063562,1.2833545295063562,0.056957530933981565,0.6299580915293177,3.6087250185555457
DeconRNASeq_CBSX_LM22_T.cells.regulatory..Tregs.,-1.159358609301867,1.159358609301867,0.051454373935384067,0.6814124654647018,0.3136873124980951
DeconRNASeq_CBSX_LM22_NK.cells.activated,-1.034571836649257,1.034571836649257,0.0459161175143414,0.7273285829790432,0.35537850840786306
AAGE,0.9937107062871362,0.9937107062871362,0.04410262869025695,0.7714312116693002,2.7012394042276706
DeconRNASeq_CBSX_LM22_Mast.cells.activated,0.9348180571136514,0.9348180571136514,0.04148886935099381,0.812920081020294,2.54675005252828
DeconRNASeq_CBSX_LM22_Dendritic.cells.activated,-0.9216610511850398,0.9216610511850398,0.04090493828989745,0.8538250193101915,0.39785763002994223
DeconRNASeq_CBSX_LM22_Monocytes,-0.7911769184078873,0.7911769184078873,0.035113823007118045,0.8889388423173096,0.45331097118378655
DeconRNASeq_CBSX_LM22_Plasma.cells,-0.4097737518354,0.4097737518354,0.018186479736878414,0.9071253220541879,0.6638004167741716
DeconRNASeq_CBSX_LM22_Neutrophils,0.3943244716074393,0.3943244716074393,0.017500813511170468,0.9246261355653584,1.483381785869135
DeconRNASeq_CBSX_LM22_Macrophages.M1,-0.3602856728891643,0.3602856728891643,0.01599011176323066,0.9406162473285891,0.6974770473248837
DeconRNASeq_CBSX_LM22_T.cells.CD4.naive,-0.332069408045404,0.332069408045404,0.01473782430818262,0.9553540716367717,0.7174375251899611
DeconRNASeq_CBSX_LM22_T.cells.CD4.memory.resting,0.2393480471197108,0.2393480471197108,0.010622687249993833,0.9659767588867655,1.2704206258850803
DeconRNASeq_CBSX_LM22_Macrophages.M0,-0.23894398230726416,0.23894398230726416,0.010604754143026801,0.9765815130297922,0.7874589927730942
DeconRNASeq_CBSX_LM22_Eosinophils,-0.21288593886741436,0.21288593886741436,0.009448252349344597,0.9860297653791368,0.8082483216780374
DeconRNASeq_CBSX_LM22_Dendritic.cells.resting,0.16845082656736582,0.16845082656736582,0.007476143921630178,0.993505909300767,1.183470030130203
DeconRNASeq_CBSX_LM22_B.cells.naive,-0.1463234198748118,0.1463234198748118,0.00649409069923284,0.9999999999999998,0.8638782625992165
DeconRNASeq_CBSX_LM22_NK.cells.resting,0.0,0.0,0.0,0.9999999999999998,1.0
DeconRNASeq_CBSX_LM22_T.cells.CD8,0.0,0.0,0.0,0.9999999999999998,1.0
