,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_CBSX_LM22_Mast.cells.resting,4.113778849629857,4.113778849629857,0.2091803496122654,0.2091803496122654,61.17746174995157
DeconRNASeq_CBSX_LM22_B.cells.memory,2.652584721288238,2.652584721288238,0.13488051245757954,0.34406086206984493,14.19067021117706
DeconRNASeq_CBSX_LM22_Macrophages.M2,1.4991779535740426,1.4991779535740426,0.07623126568600917,0.4202921277558541,4.478006427714527
DeconRNASeq_CBSX_LM22_T.cells.gamma.delta,1.493243073142789,1.493243073142789,0.07592948466935867,0.4962216124252128,4.451508703186016
DeconRNASeq_CBSX_LM22_T.cells.follicular.helper,-1.29985273939438,1.29985273939438,0.06609583558324779,0.5623174480084606,0.27257192918607
DeconRNASeq_CBSX_LM22_T.cells.regulatory..Tregs.,-1.043133470088176,1.043133470088176,0.0530419917893577,0.6153594397978184,0.3523488756955533
DeconRNASeq_CBSX_LM22_Dendritic.cells.activated,-1.031745743314239,1.031745743314239,0.0524629405678572,0.6678223803656755,0.35638426174889387
DeconRNASeq_CBSX_LM22_NK.cells.activated,-0.9560388896863853,0.9560388896863853,0.04861334468806314,0.7164357250537386,0.3844125747752049
DeconRNASeq_CBSX_LM22_T.cells.CD4.memory.activated,0.9040390386317192,0.9040390386317192,0.0459692193179355,0.7624049443716742,2.4695576329576356
DeconRNASeq_CBSX_LM22_Monocytes,-0.8588262248342888,0.8588262248342888,0.04367020604016737,0.8060751504118415,0.42365907108051726
DeconRNASeq_CBSX_LM22_Eosinophils,-0.6955657884099766,0.6955657884099766,0.03536862337921286,0.8414437737910544,0.49879215731267634
DeconRNASeq_CBSX_LM22_Mast.cells.activated,0.6206916384783279,0.6206916384783279,0.031561369408564265,0.8730051431996186,1.860214192732976
DeconRNASeq_CBSX_LM22_Dendritic.cells.resting,0.40391816117851564,0.40391816117851564,0.020538717626414828,0.8935438608260334,1.4976813734640086
DeconRNASeq_CBSX_LM22_T.cells.CD4.naive,-0.38890359834688687,0.38890359834688687,0.019775246468338836,0.9133191072943723,0.6777996078672598
DeconRNASeq_CBSX_LM22_Macrophages.M0,-0.33536948872473415,0.33536948872473415,0.01705310602854567,0.930372213322918,0.71507382581893
DeconRNASeq_CBSX_LM22_Macrophages.M1,-0.3075760633002449,0.3075760633002449,0.015639846186505255,0.9460120595094232,0.7352269416332632
DeconRNASeq_CBSX_LM22_Plasma.cells,-0.29020659133708626,0.29020659133708626,0.014756630935845663,0.9607686904452689,0.7481089987744839
DeconRNASeq_CBSX_LM22_Neutrophils,0.28460080124685694,0.28460080124685694,0.014471583738660367,0.9752402741839293,1.329231294718975
DeconRNASeq_CBSX_LM22_T.cells.CD4.memory.resting,0.21638786443842242,0.21638786443842242,0.01100304386541182,0.9862433180493412,1.2415838518449887
SEX,0.16312187292566693,0.16312187292566693,0.008294536885731887,0.9945378549350731,1.1771801473350807
DeconRNASeq_CBSX_LM22_B.cells.naive,-0.058816296624705576,0.058816296624705576,0.0029907328372699507,0.997528587772343,0.9428799634802106
DeconRNASeq_CBSX_LM22_T.cells.CD8,0.04860324294178236,0.04860324294178236,0.0024714122276569823,1.0,1.0498037510530862
DeconRNASeq_CBSX_LM22_NK.cells.resting,0.0,0.0,0.0,1.0,1.0
