,coef,abs coef,% total,cum % total,coef OR
quanTIseq_Myeloid_dendritic_cell,-1.190602037937613,1.190602037937613,0.21173946249532302,0.21173946249532302,0.3040381664456947
quanTIseq_Monocyte,-0.9274018138650701,0.9274018138650701,0.16493131653388546,0.3766707790292085,0.3955801672369408
quanTIseq_T_cell_CD4+_(non-regulatory),0.832548046633435,0.832548046633435,0.14806229981015018,0.5247330788393587,2.299169674420627
quanTIseq_NK_cell,0.6926796225219966,0.6926796225219966,0.12318777079227217,0.6479208496316309,1.9990651025005544
quanTIseq_Macrophage_M2,0.6481685279136205,0.6481685279136205,0.1152718131950705,0.7631926628267014,1.9120357801345744
quanTIseq_Macrophage_M1,-0.4982061930656202,0.4982061930656202,0.08860215938676494,0.8517948222134664,0.6076196350296739
quanTIseq_uncharacterized_cell,0.3463567980329632,0.3463567980329632,0.061596906363554894,0.9133917285770212,1.4139070050679812
AAGE,-0.24269312790013822,0.24269312790013822,0.04316111581826189,0.9565528443952831,0.7845122217492416
quanTIseq_Neutrophil,-0.20448921687788008,0.20448921687788008,0.03636684256211619,0.9929196869573993,0.815063530799711
quanTIseq_T_cell_CD8+,0.03376774886621133,0.03376774886621133,0.0060053357602125115,0.9989250227176119,1.0343443511810966
quanTIseq_B_cell,-0.006044551771621747,0.006044551771621747,0.0010749772823884633,1.0000000000000002,0.9939736797790916
quanTIseq_T_cell_regulatory_(Tregs),0.0,0.0,0.0,1.0000000000000002,1.0
