,coef,abs coef,% total,cum % total,coef OR
CIBERSORTx_CBSX_LM22_NK_cells_activated,0.4523805845371748,0.4523805845371748,0.11637890140049442,0.11637890140049442,1.5720501327127867
CIBERSORTx_CBSX_LM22_Neutrophils,-0.36978162365495776,0.36978162365495776,0.09512958908942441,0.21150849048991882,0.6908851871470215
CIBERSORTx_CBSX_LM22_Macrophages_M1,-0.2963576471997078,0.2963576471997078,0.07624062256788361,0.28774911305780243,0.7435214620931898
CIBERSORTx_CBSX_LM22_T_cells_CD8,-0.2570862383462627,0.2570862383462627,0.06613770574290652,0.35388681880070894,0.7733015226453491
CIBERSORTx_CBSX_LM22_Dendritic_cells_resting,0.24650783450206426,0.24650783450206426,0.06341631791142364,0.4173031367121326,1.2795492078092439
CIBERSORTx_CBSX_LM22_Dendritic_cells_activated,-0.23040872055135833,0.23040872055135833,0.05927467863877142,0.47657781535090404,0.7942089266466136
CIBERSORTx_CBSX_LM22_T_cells_follicular_helper,-0.21108759692280876,0.21108759692280876,0.0543041489154098,0.5308819642663138,0.8097031362715441
CIBERSORTx_CBSX_LM22_T_cells_CD4_memory_activated,-0.2067458144935872,0.2067458144935872,0.05318718703308292,0.5840691512993967,0.8132263340659623
CIBERSORTx_CBSX_LM22_Macrophages_M0,0.201339908688664,0.201339908688664,0.05179647001260076,0.6358656213119975,1.2230404232440084
CIBERSORTx_CBSX_LM22_Plasma_cells,0.18446987650361643,0.18446987650361643,0.04745650521438675,0.6833221265263842,1.202580754802223
CIBERSORTx_CBSX_LM22_Mast_cells_resting,0.15623824562802494,0.15623824562802494,0.04019366879224665,0.7235157953186309,1.1691047039971707
CIBERSORTx_CBSX_LM22_T_cells_gamma_delta,0.13654626808542553,0.13654626808542553,0.03512773362361962,0.7586435289422505,1.146307914021305
CIBERSORTx_CBSX_LM22_Macrophages_M2,0.13547947567726895,0.13547947567726895,0.03485329185328886,0.7934968207955394,1.1450856934849238
CIBERSORTx_CBSX_LM22_T_cells_CD4_naive,-0.12312118217169092,0.12312118217169092,0.031674011684058145,0.8251708324795975,0.8841565120623406
CIBERSORTx_CBSX_LM22_T_cells_regulatory_(Tregs),-0.11929885776030229,0.11929885776030229,0.0306906849653644,0.855861517444962,0.8875425121547895
CIBERSORTx_CBSX_LM22_T_cells_CD4_memory_resting,-0.11500049596181974,0.11500049596181974,0.02958489342384402,0.885446410868806,0.8913657018233662
CIBERSORTx_CBSX_LM22_Eosinophils,-0.11372762122192094,0.11372762122192094,0.02925743515327872,0.9147038460220848,0.8925010211155657
CIBERSORTx_CBSX_LM22_Monocytes,0.1072546068010697,0.1072546068010697,0.027592195015223416,0.9422960410373081,1.113217651185493
CIBERSORTx_CBSX_LM22_B_cells_memory,-0.09750335657562392,0.09750335657562392,0.025083599758687937,0.967379640795996,0.9070992968033036
CIBERSORTx_CBSX_LM22_B_cells_naive,0.07621317790840132,0.07621317790840132,0.019606513233308996,0.986986154029305,1.0791926096604585
CIBERSORTx_CBSX_LM22_NK_cells_resting,0.050586585510376,0.050586585510376,0.013013845970694929,0.9999999999999999,1.0518879376660297
CIBERSORTx_CBSX_LM22_Mast_cells_activated,0.0,0.0,0.0,0.9999999999999999,1.0
