,coef,abs coef,% total,cum % total,coef OR
EpiDISH_CBSX_HNSCC_Macrophages,0.22491819871210314,0.22491819871210314,0.4294551621911552,0.4294551621911552,1.252220278770631
EpiDISH_CBSX_HNSCC_Dendritic.cells,-0.20893099288586198,0.20893099288586198,0.39892945057508433,0.8283846127662395,0.8114512296190176
EpiDISH_CBSX_HNSCC_Mast.cells,0.07168907493513765,0.07168907493513765,0.13688195744005272,0.9652665702062923,1.0743212587217008
EpiDISH_CBSX_HNSCC_Myocytes,-0.018190910605044127,0.018190910605044127,0.03473342979370769,1.0,0.9819735452985658
EpiDISH_CBSX_HNSCC_B.cells,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_HNSCC_T.cells.CD8,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_HNSCC_T.cells.CD4,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_HNSCC_CAFs,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_HNSCC_Endothelial.cells,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_HNSCC_Malignant.cells,0.0,0.0,0.0,1.0,1.0
