,coef,abs coef,% total,cum % total,coef OR
EpiDISH_CBSX_LM22_B.cells.memory,-0.2310096202402813,0.2310096202402813,0.10683347265083011,0.10683347265083011,0.7937318301075885
EpiDISH_CBSX_LM22_Plasma.cells,0.23003633433083667,0.23003633433083667,0.10638336363164755,0.21321683628247767,1.2586457411494314
EpiDISH_CBSX_LM22_Macrophages.M2,0.21246365859764307,0.21246365859764307,0.09825664592010226,0.3114734822025799,1.2367211685670172
EpiDISH_CBSX_LM22_Mast.cells.resting,0.19466061169989277,0.19466061169989277,0.09002338999823219,0.4014968722008121,1.2148985941444512
EpiDISH_CBSX_LM22_Dendritic.cells.activated,-0.18780675453837992,0.18780675453837992,0.0868537325577517,0.4883506047585638,0.8287748487370962
EpiDISH_CBSX_LM22_NK.cells.activated,0.1680481008497575,0.1680481008497575,0.07771608025450537,0.5660666850130691,1.1829935122724895
EpiDISH_CBSX_LM22_Eosinophils,-0.15848263669586177,0.15848263669586177,0.07329240408026297,0.6393590890933321,0.8534377821620603
EpiDISH_CBSX_LM22_T.cells.follicular.helper,-0.1299128649274549,0.1299128649274549,0.0600799329819345,0.6994390220752665,0.8781719471632119
EpiDISH_CBSX_LM22_Macrophages.M1,-0.12861845586956594,0.12861845586956594,0.05948131628994942,0.758920338365216,0.8793093968898025
EpiDISH_CBSX_LM22_Neutrophils,-0.11759369832951765,0.11759369832951765,0.05438277047219647,0.8133031088374125,0.889057204668719
EpiDISH_CBSX_LM22_Dendritic.cells.resting,0.09209423874291502,0.09209423874291502,0.04259020609534183,0.8558933149327543,1.0964681469919546
EpiDISH_CBSX_LM22_Mast.cells.activated,-0.0720966393725165,0.0720966393725165,0.03334205018219168,0.889235365114946,0.9304409742343797
EpiDISH_CBSX_LM22_NK.cells.resting,-0.07060101061576561,0.07060101061576561,0.032650376763076305,0.9218857418780224,0.9318336096851184
EpiDISH_CBSX_LM22_T.cells.CD4.memory.resting,-0.06681428160670047,0.06681428160670047,0.03089915354732763,0.95278489542535,0.9353689004160479
EpiDISH_CBSX_LM22_B.cells.naive,0.04279235071081984,0.04279235071081984,0.019789891973217223,0.9725747873985673,1.0437211443936165
EpiDISH_CBSX_LM22_Monocytes,0.022498020844064076,0.022498020844064076,0.010404509093786294,0.9829792964923536,1.0227530099747522
EpiDISH_CBSX_LM22_T.cells.regulatory..Tregs.,0.018120521592996756,0.018120521592996756,0.00838007631894559,0.9913593728112992,1.0182856944085756
EpiDISH_CBSX_LM22_T.cells.CD4.memory.activated,-0.011516158074485807,0.011516158074485807,0.0053258005333869885,0.9966851733446861,0.9885498990559635
EpiDISH_CBSX_LM22_T.cells.gamma.delta,0.007167761449721089,0.007167761449721089,0.0033148266553140147,1.0,1.007193511338074
EpiDISH_CBSX_LM22_Macrophages.M0,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_T.cells.CD4.naive,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_T.cells.CD8,0.0,0.0,0.0,1.0,1.0
