,coef,abs coef,% total,cum % total,coef OR
CIBERSORTx_CBSX_LM22_Dendritic_cells_activated,-0.5142456705093656,0.5142456705093656,0.21315071029411617,0.21315071029411617,0.5979514769729782
CIBERSORTx_CBSX_LM22_Mast_cells_resting,0.36235350010289225,0.36235350010289225,0.15019262261943328,0.3633433329135495,1.4367067281800612
CIBERSORTx_CBSX_LM22_Macrophages_M2,0.3078798451274311,0.3078798451274311,0.1276137290745732,0.49095706198812267,1.3605375039051784
CIBERSORTx_CBSX_LM22_NK_cells_activated,0.30233614147787563,0.30233614147787563,0.1253159083279398,0.6162729703160624,1.353015955061394
CIBERSORTx_CBSX_LM22_Plasma_cells,0.21542505087513286,0.21542505087513286,0.08929195760403472,0.7055649279200972,1.240389013368119
CIBERSORTx_CBSX_LM22_Dendritic_cells_resting,0.2118954593514462,0.2118954593514462,0.0878289701965244,0.7933938981166215,1.2360186641314275
CIBERSORTx_CBSX_LM22_Eosinophils,-0.16192027130816886,0.16192027130816886,0.06711465515337502,0.8605085532699965,0.8505090118080068
CIBERSORTx_CBSX_LM22_T_cells_follicular_helper,-0.11477636543158788,0.11477636543158788,0.04757388388411223,0.9080824371541087,0.8915655064810719
CIBERSORTx_CBSX_LM22_Macrophages_M1,-0.09257861381235576,0.09257861381235576,0.03837309368614104,0.9464555308402498,0.9115775455614389
CIBERSORTx_CBSX_LM22_Neutrophils,-0.07220073436083911,0.07220073436083911,0.02992662592088731,0.9763821567611372,0.9303441250328776
CIBERSORTx_CBSX_LM22_T_cells_gamma_delta,0.034985037881799255,0.034985037881799255,0.014501017902174562,0.9908831746633118,1.0356042138510482
CIBERSORTx_CBSX_LM22_B_cells_memory,-0.021995178677626556,0.021995178677626556,0.0091168253366884,1.0000000000000002,0.9782449514741116
CIBERSORTx_CBSX_LM22_NK_cells_resting,0.0,0.0,0.0,1.0000000000000002,1.0
CIBERSORTx_CBSX_LM22_Monocytes,0.0,0.0,0.0,1.0000000000000002,1.0
CIBERSORTx_CBSX_LM22_Macrophages_M0,0.0,0.0,0.0,1.0000000000000002,1.0
CIBERSORTx_CBSX_LM22_T_cells_regulatory_(Tregs),0.0,0.0,0.0,1.0000000000000002,1.0
CIBERSORTx_CBSX_LM22_T_cells_CD4_memory_activated,0.0,0.0,0.0,1.0000000000000002,1.0
CIBERSORTx_CBSX_LM22_T_cells_CD4_memory_resting,0.0,0.0,0.0,1.0000000000000002,1.0
CIBERSORTx_CBSX_LM22_T_cells_CD4_naive,0.0,0.0,0.0,1.0000000000000002,1.0
CIBERSORTx_CBSX_LM22_Mast_cells_activated,0.0,0.0,0.0,1.0000000000000002,1.0
CIBERSORTx_CBSX_LM22_T_cells_CD8,0.0,0.0,0.0,1.0000000000000002,1.0
CIBERSORTx_CBSX_LM22_B_cells_naive,0.0,0.0,0.0,1.0000000000000002,1.0
