,coef,abs coef,% total,cum % total,coef OR
EpiDISH_BPRNACan_M2,0.8641497181215033,0.8641497181215033,0.396135379321822,0.396135379321822,2.372987519637691
EpiDISH_BPRNACan_M0,-0.67187799080101,0.67187799080101,0.3079959839858667,0.7041313633076887,0.51074849557961
EpiDISH_BPRNACan_B,-0.2333315018756577,0.2333315018756577,0.10696163068151103,0.8110929939891997,0.7918910166503342
EpiDISH_BPRNACan_M1,0.18812932799559084,0.18812932799559084,0.08624047563088408,0.8973334696200838,1.2069896028021785
EpiDISH_BPRNACan_NK,0.14735357056134313,0.14735357056134313,0.06754843674037415,0.9648819063604579,1.158763595303487
EpiDISH_BPRNACan_Neu,-0.07660838264819712,0.07660838264819712,0.03511809363954209,1.0,0.9262525191474503
EpiDISH_BPRNACan_cancer,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan_CD4,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan_CD8,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan_Mono,0.0,0.0,0.0,1.0,1.0
