,coef,abs coef,% total,cum % total,coef OR
EpiDISH_CBSX_LM22_Neutrophils,-0.6059619214789496,0.6059619214789496,0.1645892624198574,0.1645892624198574,0.5455493984780362
EpiDISH_CBSX_LM22_Macrophages.M1,-0.5306378505774868,0.5306378505774868,0.144130001148333,0.3087192635681904,0.5882296473710346
EpiDISH_CBSX_LM22_T.cells.CD4.memory.activated,-0.3971884503009796,0.3971884503009796,0.10788294075834172,0.4166022043265321,0.6722073360208907
EpiDISH_CBSX_LM22_Monocytes,0.3104915421410121,0.3104915421410121,0.08433462911970871,0.5009368334462408,1.364095459769956
EpiDISH_CBSX_LM22_T.cells.CD4.memory.resting,-0.24093519244377892,0.24093519244377892,0.0654419761534233,0.5663788095996641,0.7858925565140392
EpiDISH_CBSX_LM22_Dendritic.cells.resting,0.23803789562117425,0.23803789562117425,0.0646550225014842,0.6310338321011484,1.2687572722588567
EpiDISH_CBSX_LM22_B.cells.memory,-0.2343098590583834,0.2343098590583834,0.06364242622043995,0.6946762583215883,0.7911166432549133
EpiDISH_CBSX_LM22_T.cells.CD8,-0.2046087561676293,0.2046087561676293,0.055575116304473,0.7502513746260613,0.8149661045073896
EpiDISH_CBSX_LM22_T.cells.follicular.helper,-0.19187039147536558,0.19187039147536558,0.05211516614123874,0.8023665407673001,0.8254138422294827
EpiDISH_CBSX_LM22_T.cells.gamma.delta,0.15532313331002956,0.15532313331002956,0.042188327421374176,0.8445548681886742,1.1680353312542284
EpiDISH_CBSX_LM22_NK.cells.activated,0.13092092303893213,0.13092092303893213,0.035560284226627464,0.8801151524153017,1.1398776396882386
EpiDISH_CBSX_LM22_Macrophages.M0,0.1230302710904283,0.1230302710904283,0.03341705288125459,0.9135322052965563,1.1309186545702017
EpiDISH_CBSX_LM22_NK.cells.resting,-0.07491590849891598,0.07491590849891598,0.020348397624154097,0.9338806029207104,0.9278215049512447
EpiDISH_CBSX_LM22_Mast.cells.activated,-0.05516237746197286,0.05516237746197286,0.014983012459978937,0.9488636153806893,0.9463314725744109
EpiDISH_CBSX_LM22_Mast.cells.resting,0.053771812589886225,0.053771812589886225,0.014605312082230608,0.9634689274629199,1.055243781334484
EpiDISH_CBSX_LM22_Dendritic.cells.activated,-0.049818970009693334,0.049818970009693334,0.013531654775270017,0.9770005822381899,0.9514016411419289
EpiDISH_CBSX_LM22_T.cells.regulatory..Tregs.,0.04304746717413463,0.04304746717413463,0.01169240280633702,0.9886929850445269,1.043987448808537
EpiDISH_CBSX_LM22_Macrophages.M2,0.04162859962961406,0.04162859962961406,0.011307014955473147,1.0,1.04250721927369
EpiDISH_CBSX_LM22_T.cells.CD4.naive,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_Plasma.cells,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_Eosinophils,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_B.cells.naive,0.0,0.0,0.0,1.0,1.0
