,coef,abs coef,% total,cum % total,coef OR
CIBERSORTx_CBSX_HNSCC_Macrophages,0.2522627135329467,0.2522627135329467,0.4538914970512144,0.4538914970512144,1.2869340878785596
CIBERSORTx_CBSX_HNSCC_Dendritic_cells,-0.21058649587754938,0.21058649587754938,0.3789042721929915,0.8327957692442058,0.8101089810356049
CIBERSORTx_CBSX_HNSCC_Myocytes,-0.055610844878491085,0.055610844878491085,0.10005953428739497,0.9328553035316008,0.9459071688940346
CIBERSORTx_CBSX_HNSCC_Mast_cells,0.0373175162797844,0.0373175162797844,0.06714469646839905,0.9999999999999999,1.0380225575795634
CIBERSORTx_CBSX_HNSCC_B_cells,0.0,0.0,0.0,0.9999999999999999,1.0
CIBERSORTx_CBSX_HNSCC_T_cells_CD8,0.0,0.0,0.0,0.9999999999999999,1.0
CIBERSORTx_CBSX_HNSCC_T_cells_CD4,0.0,0.0,0.0,0.9999999999999999,1.0
CIBERSORTx_CBSX_HNSCC_CAFs,0.0,0.0,0.0,0.9999999999999999,1.0
CIBERSORTx_CBSX_HNSCC_Endothelial_cells,0.0,0.0,0.0,0.9999999999999999,1.0
CIBERSORTx_CBSX_HNSCC_Malignant_cells,0.0,0.0,0.0,0.9999999999999999,1.0
