,coef,abs coef,% total,cum % total,coef OR
CIBERSORTx_CBSX_LM22_Neutrophils,-0.06594556582502265,0.06594556582502265,0.0687050664683434,0.0687050664683434,0.9361818231898276
CIBERSORTx_CBSX_LM22_Dendritic_cells_resting,0.06376886752984051,0.06376886752984051,0.06643728395437075,0.13514235042271416,1.0658460186662781
CIBERSORTx_CBSX_LM22_NK_cells_activated,0.06258834393192135,0.06258834393192135,0.06520736119538355,0.20034971161809773,1.0645885046979946
CIBERSORTx_CBSX_LM22_Macrophages_M2,0.0618698036350826,0.0618698036350826,0.06445875348784671,0.26480846510594447,1.0638238297156124
CIBERSORTx_CBSX_LM22_T_cells_CD4_memory_activated,-0.05920166954737579,0.05920166954737579,0.06167897098770489,0.3264874360936494,0.9425166730785951
CIBERSORTx_CBSX_LM22_B_cells_memory,-0.056728087660382724,0.056728087660382724,0.059101881750019354,0.38558931784366873,0.9448509510729836
CIBERSORTx_CBSX_LM22_Macrophages_M1,-0.05332355149082958,0.05332355149082958,0.05555488232865306,0.4411442001723218,0.9480732123508829
CIBERSORTx_CBSX_LM22_Mast_cells_resting,0.05310667163128316,0.05310667163128316,0.05532892710362218,0.496473127275944,1.054542128848979
CIBERSORTx_CBSX_LM22_T_cells_CD8,-0.0525348426269555,0.0525348426269555,0.05473316984141137,0.5512062971173554,0.9488212610546096
CIBERSORTx_CBSX_LM22_T_cells_gamma_delta,0.05052061273348938,0.05052061273348938,0.05263465424022134,0.6038409513575766,1.0518185439868803
CIBERSORTx_CBSX_LM22_T_cells_follicular_helper,-0.04840293854740983,0.04840293854740983,0.05042836570675207,0.6542693170643287,0.9527498100986107
CIBERSORTx_CBSX_LM22_Dendritic_cells_activated,-0.048295076524069,0.048295076524069,0.050315990183237645,0.7045853072475663,0.9528525811633134
CIBERSORTx_CBSX_LM22_T_cells_CD4_naive,-0.045565251580016564,0.045565251580016564,0.04747193536496966,0.7520572426125359,0.9554572554422963
CIBERSORTx_CBSX_LM22_Plasma_cells,0.043540921904320753,0.043540921904320753,0.045362897354869716,0.7974201399674057,1.0445027364785198
CIBERSORTx_CBSX_LM22_Macrophages_M0,0.042294318966435755,0.042294318966435755,0.04406413015747731,0.841484270124883,1.0432014675499477
CIBERSORTx_CBSX_LM22_T_cells_regulatory_(Tregs),-0.038959649422673145,0.038959649422673145,0.040589920939801044,0.8820741910646841,0.9617895171256822
CIBERSORTx_CBSX_LM22_Eosinophils,-0.03415950933145941,0.03415950933145941,0.035588918372027774,0.9176631094367119,0.9664173397586895
CIBERSORTx_CBSX_LM22_Monocytes,0.027793058781320008,0.027793058781320008,0.02895606288367927,0.9466191723203912,1.0281828889840385
CIBERSORTx_CBSX_LM22_B_cells_naive,-0.02226471690043309,0.02226471690043309,0.023196386829130354,0.9698155591495216,0.9779813126003947
CIBERSORTx_CBSX_LM22_Mast_cells_activated,-0.017396811674516895,0.017396811674516895,0.01812478348591871,0.9879403426354403,0.9827536391355408
CIBERSORTx_CBSX_LM22_NK_cells_resting,-0.009558674021522018,0.009558674021522018,0.009958657959512202,0.9978990005949525,0.990486864890294
CIBERSORTx_CBSX_LM22_T_cells_CD4_memory_resting,-0.0020166139367283945,0.0020166139367283945,0.002100999405047783,1.0000000000000002,0.9979854180630073
