,coef,abs coef,% total,cum % total,coef OR
EpiDISH_BPRNACan3DProMet_M2,0.4233337342477419,0.4233337342477419,0.3363788268001344,0.3363788268001344,1.5270438377624178
EpiDISH_BPRNACan3DProMet_M0,-0.23057704766703457,0.23057704766703457,0.1832153464431579,0.5195941732432923,0.7940752509996805
EpiDISH_BPRNACan3DProMet_NK,0.13789813663697575,0.13789813663697575,0.10957315627656708,0.6291673295198593,1.1478586195795362
EpiDISH_BPRNACan3DProMet_B,-0.13174511915772216,0.13174511915772216,0.1046839999596722,0.7338513294795315,0.8765643860781553
EpiDISH_BPRNACan3DProMet_M1,0.11419780721801899,0.11419780721801899,0.0907409953600929,0.8245923248396244,1.120973839671735
EpiDISH_BPRNACan3DProMet_CD4,-0.09081866588792671,0.09081866588792671,0.07216404886140286,0.8967563737010272,0.9131832871670379
EpiDISH_BPRNACan3DProMet_CD8,0.0705361547644156,0.0705361547644156,0.056047668936209744,0.952804042637237,1.0730833658056609
EpiDISH_BPRNACan3DProMet_cancer,0.03393109768528677,0.03393109768528677,0.02696147721773109,0.9797655198549681,1.0345133239097515
EpiDISH_BPRNACan3DProMet_Neu,-0.02546515225658861,0.02546515225658861,0.020234480145031732,0.9999999999999998,0.974856349917777
EpiDISH_BPRNACan3DProMet_Mono,0.0,0.0,0.0,0.9999999999999998,1.0
